,Wu-Palmer Similarity rho,Wu-Palmer Similarity p,Cosine Similarity GloVe rho,Cosine Similarity GloVe p,Sensorimotor Distance rho,Sensorimotor Distance p,Same Author rho,Same Author p
chrF,0.14035275422560445,0.08669904301884995,-0.23955075763610645,0.003152586446212609,0.23972894177597265,0.0031295617957956684,0.1882267287477839,0.02107322141182489
CodeBERTScore,0.2626744965349581,0.0011646502880834095,-0.29517984610233106,0.0002454018218989727,0.28744665443213846,0.0003616263437365118,0.2979294234167377,0.00021323319087430083
CodeBLEU,0.14938833926158754,0.06806551698779521,-0.2710180767364757,0.0007950273005757748,0.2852371710977977,0.0004031788626023501,0.28792145828904364,0.00035323089043011604
CrystalBLEU,0.15852431968685937,0.05267855261995883,-0.21938031300325367,0.006990165309128092,0.2199148654228523,0.006849991235096579,0.17282985932056233,0.034433377429846035
Edit Distance,0.11706185644669798,0.15368793557510096,-0.21229009402949076,0.009105734130303442,0.20997368373707562,0.009910248777703523,0.1189416622304117,0.14714300402528538
ROUGE-L,0.10849092272003505,0.18632611120853165,-0.15208530114150115,0.06318355322686006,0.10541729836591927,0.19918645644643226,0.12818326828570004,0.1179959363079932
LoC,-0.6340471003141811,3.0534465232677597e-18,0.4319970745794177,3.391818097054734e-08,-0.20860566385701948,0.010414265297994732,0.09073671206447607,0.2694732603359526
Compilation Success,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Run Success,-0.06635791133044443,0.5343285130746809,0.08636731348756703,0.41827763326217593,-0.07066416558073665,0.5080761137163621,0.23745873604346543,0.024222684925845152
Simulation,-0.1247330436428454,0.5113522973758811,0.04139610894862965,0.828056903265432,-0.17548350532571266,0.3536425523189042,0.10206207261596577,0.5914967504059174
