,Wu-Palmer Similarity rho,Wu-Palmer Similarity p,Cosine Similarity GloVe rho,Cosine Similarity GloVe p,Sensorimotor Distance rho,Sensorimotor Distance p,Same Author rho,Same Author p
chrF,0.3015601914566392,0.0001767414449496381,-0.37958371501471366,1.6630452504816111e-06,0.27224110402754653,0.000750985886804802,0.1697575784720964,0.037819750807233626
CodeBERTScore,0.21714286959106582,0.0076049481118346295,-0.2584831049931774,0.0014044708428803461,0.2640782859505645,0.001093115670017768,0.28639195549308494,0.0003809404056537093
CodeBLEU,0.20650241580619383,0.011233219522393686,-0.32099517792244664,6.20188974555814e-05,0.3360702262472157,2.6163202830203503e-05,0.2794656024648777,0.0005334376365556925
CrystalBLEU,0.23475556032952702,0.0038325278721924746,-0.3075603168817144,0.00012890472853262935,0.2513227525666107,0.001920475135458517,0.15898016758381905,0.05199319409342788
Edit Distance,0.1771051816519398,0.030150288213322093,-0.27338201628145914,0.0007119344051447551,0.2408798133289509,0.002984467625280398,0.14781638558753143,0.07104986008045161
ROUGE-L,0.08327274786833043,0.31100868034532847,-0.10884116211687105,0.18490014246701691,0.12241957821593058,0.13559321698980528,0.23212121995343096,0.0042597573483421835
LoC,-0.40005814366555387,3.9334564808848974e-07,0.177294068913676,0.029972010992785018,0.03377794610040143,0.6815491742308932,0.1505244514097292,0.06597277965864076
Compilation Success,0.09615252914926238,0.24180544356469597,-0.13273074121856446,0.10540716180048336,0.07584613783917969,0.3562780249048205,0.04096159602595202,0.6187044848313802
Run Success,-0.05624994506843985,0.598477174681111,0.0873545302402135,0.4129574275724579,-0.174709060480427,0.09956618200220084,0.026958193300859606,0.8008719906118593
Simulation,0.16315243628095905,0.3889932695594306,-0.12929496511415176,0.4959011866764166,0.13198861022069658,0.48688983500927163,0.16971903928245238,0.3699221941106189
