,Action Name,run,chrF,CodeBERTScore,CodeBLEU,CrystalBLEU,Edit Distance,ROUGE-L,LoC,Compilation Success,Run Success,Simulation
0,cut,1,0.5347609981872923,0.8504095673561096,0.31643464433366486,0.19313904927981676,0.35267538644470864,0.3462897480398057,40,1,NaN,NaN
1,cut,2,0.5347609981872923,0.8504095673561096,0.31643464433366486,0.19313904927981676,0.35267538644470864,0.3462897480398057,40,1,NaN,NaN
2,cut,3,0.5347609981872923,0.8504095673561096,0.31643464433366486,0.19313904927981676,0.35267538644470864,0.3462897480398057,40,1,NaN,NaN
3,cut,4,0.5347609981872923,0.8504095673561096,0.31643464433366486,0.19313904927981676,0.35267538644470864,0.3462897480398057,40,1,NaN,NaN
4,cut,5,0.5347609981872923,0.8504095673561096,0.31643464433366486,0.19313904927981676,0.35267538644470864,0.3462897480398057,40,1,NaN,NaN
5,pour,1,0.6563834163719121,0.8819916248321533,0.47411243110513696,0.33389807979646,0.5580128205128205,0.4928909904314818,33,1,NaN,NaN
6,pour,2,0.6563834163719121,0.8819916248321533,0.47411243110513696,0.33389807979646,0.5580128205128205,0.4928909904314818,33,1,NaN,NaN
7,pour,3,0.6563834163719121,0.8819916248321533,0.47411243110513696,0.33389807979646,0.5580128205128205,0.4928909904314818,33,1,NaN,NaN
8,pour,4,0.6563834163719121,0.8819916248321533,0.47411243110513696,0.33389807979646,0.5580128205128205,0.4928909904314818,33,1,NaN,NaN
9,pour,5,0.6563834163719121,0.8819916248321533,0.47411243110513696,0.33389807979646,0.5580128205128205,0.4928909904314818,33,1,NaN,NaN
10,wipe,1,0.5012536788039006,0.8530368804931641,0.41639847487438486,0.2283613304495887,0.47126991791405115,0.5078124950515748,38,1,NaN,NaN
11,wipe,2,0.5012536788039006,0.8530368804931641,0.41639847487438486,0.2283613304495887,0.47126991791405115,0.5078124950515748,38,1,NaN,NaN
12,wipe,3,0.5012536788039006,0.8530368804931641,0.41639847487438486,0.2283613304495887,0.47126991791405115,0.5078124950515748,38,1,NaN,NaN
13,wipe,4,0.5012536788039006,0.8530368804931641,0.41639847487438486,0.2283613304495887,0.47126991791405115,0.5078124950515748,38,1,NaN,NaN
14,wipe,5,0.5012536788039006,0.8530368804931641,0.41639847487438486,0.2283613304495887,0.47126991791405115,0.5078124950515748,38,1,NaN,NaN
