,Action Name,run,chrF,CodeBERTScore,CodeBLEU,CrystalBLEU,Edit Distance,ROUGE-L,LoC,Compilation Success,Run Success,Simulation
0,cut,1,0.5458792717571591,0.8819236755371094,0.37627986979735284,0.279509129626489,0.49727857496288963,0.5524475476392489,36,1,0,0.3
1,cut,2,0.5965685807936011,0.8802518844604492,0.3895407892336855,0.2981038207499179,0.5173181593270658,0.5503355655788027,39,1,0,0.3
2,cut,3,0.5840461384025484,0.8829226493835449,0.41297342137523674,0.291049537773709,0.517070757050965,0.5442176822081078,39,1,0,0.3
3,cut,4,0.515503785485648,0.8700084686279297,0.37744269311192985,0.3006397753176581,0.49257793171697184,0.5629629583185186,37,1,0,0.15
4,cut,5,0.5882219171854147,0.8879675269126892,0.39762334656505793,0.30262659055512975,0.5121227115289461,0.5491525374997989,37,1,0,0.3
5,pour,1,0.6803567006302549,0.8809137940406799,0.49282153569803266,0.37041811877076397,0.6121794871794872,0.5164319200335032,30,1,0,0.15
6,pour,2,0.6674767261139761,0.8670564293861389,0.4849604749274968,0.3132239430704557,0.6182692307692308,0.4753363179432525,37,1,0,0.15
7,pour,3,0.691632268316063,0.8840204477310181,0.5037100896891504,0.3874415241936389,0.6189102564102564,0.5308056823746099,32,1,0,0.3
8,pour,4,0.6707970868130234,0.867484450340271,0.4937085636805963,0.3169826180555841,0.6080128205128206,0.47488583984904403,35,1,0,0.15
9,pour,5,0.6841706164396578,0.8742287158966064,0.5062478615642836,0.35073469711397237,0.6266025641025641,0.5114155202143409,33,1,0,0.3
10,wipe,1,0.4875039071616274,0.8438449501991272,0.3950077522725409,0.18702046810981035,0.46523418638338965,0.4701195169886192,36,1,0,0.2
11,wipe,2,0.5331641567876297,0.8399094343185425,0.443847474181849,0.20301410076747742,0.4995171414775471,0.4470588185854671,40,1,0,0.2
12,wipe,3,0.46629433878233323,0.8303245902061462,0.36847578275496895,0.1657086685958963,0.45871559633027525,0.46963562263075936,36,1,0,0.0
13,wipe,4,0.47990154162816273,0.8469905853271484,0.39632570178963666,0.1910303711617121,0.4703042008691454,0.4858299546145651,37,1,0,0.3
14,wipe,5,0.45037714096070114,0.8429707884788513,0.36010888312053513,0.15478848497295866,0.4560598744567842,0.466101690105214,35,1,0,0.2
