,Wu-Palmer Similarity rho,Wu-Palmer Similarity p,Cosine Similarity GloVe rho,Cosine Similarity GloVe p,Sensorimotor Distance rho,Sensorimotor Distance p,Same Author rho,Same Author p
chrF,0.17117679462752428,2.5729342125880652e-05,-0.2502048816933205,5.481045017339729e-10,0.22266506680264495,3.735975516716529e-08,0.16486091541276615,5.1036324559633086e-05
CodeBERTScore,0.22834813593185896,1.6315103263445806e-08,-0.2770426374356343,5.346141961253009e-12,0.295682961872947,1.5688489107559713e-13,0.31929701075819794,1.2224534029704967e-15
CodeBLEU,0.13686139925156934,0.0007918906670679472,-0.24675952187074285,9.566928136799427e-10,0.2296061871302767,1.3540936491467084e-08,0.24789609837363222,7.968407098113218e-10
CrystalBLEU,0.18193291605242323,7.5662830639284954e-06,-0.23103256369677536,1.0947368214755443e-08,0.2568199317816201,1.837244205141217e-10,0.19146702798174142,2.4047300244730816e-06
Edit Distance,0.09963752328479163,0.014788806693050063,-0.1970309620944023,1.1990155303528223e-06,0.22781812200567556,1.764207951087378e-08,0.15003418490615145,0.00023129595727437426
ROUGE-L,0.10952765230443348,0.007343346519649628,-0.15556056214465172,0.000133776881767728,0.1604771088755964,8.091396784551962e-05,0.2464694115382331,1.002250699581214e-09
LoC,-0.5279570572923902,3.171675830072955e-44,0.362468259753129,5.260100150524911e-20,-0.2109774524560181,1.9173234327918644e-07,0.0687889861008454,0.09283284471428074
Compilation Success,0.04790808645490087,0.24209486780175604,-0.06629399259598523,0.10532986985609552,0.03778044739341094,0.3563821526644889,0.020506403996442938,0.6167457242477075
Run Success,-0.021341719721832453,0.6865301491769612,0.06461506201596051,0.22132996565932123,-0.09135232905704761,0.08347291894747316,0.12995797100802925,0.0135992926718128
Simulation,0.007245636001904966,0.9373967553368288,-0.0515789969850673,0.5758354076213894,-0.06480294406651856,0.4819373299426414,0.010288958508149728,0.9111936103043841
