,Target Name,Reference Name,run,chrF,CodeBERTScore,CodeBLEU,CrystalBLEU,Edit Distance,ROUGE-L,LoC,Compilation Success,Run Success,Simulation
0,cut,grasp,1,0.7831188034225584,0.8916198015213013,0.589354555217262,0.6252340554951588,0.602255253716043,0.7058823479418687,28,1,NaN,NaN
1,cut,mix,1,0.5213674511626462,0.8637065887451172,0.4105402249350505,0.2708213858597915,0.41075450450450446,0.5508474529948292,32,0,NaN,NaN
2,cut,pour,1,0.4462820006573884,0.8948261141777039,0.5390864031803008,0.2898163375771944,0.46987179487179487,0.577981646483882,31,1,NaN,NaN
3,cut,transport,1,0.6593019431105275,0.9136854410171509,0.7111574099692528,0.47110353873424377,0.6258858634837747,0.6886792403190638,36,0,NaN,NaN
4,cut,wipe,1,0.4320960072015192,0.8836798071861267,0.43102222270367463,0.1605416442268272,0.38387252535007244,0.4956521691686201,32,0,NaN,NaN
5,grasp,cut,1,0.30039437334218533,0.8249123692512512,0.2910709734944419,0.05909921296078902,0.2563614744351962,0.3770491764972454,23,1,NaN,NaN
6,grasp,mix,1,0.457141745773215,0.8614079356193542,0.39572689458183524,0.17895084552301735,0.4054054054054054,0.5267857098612884,25,1,NaN,NaN
7,grasp,pour,1,0.5260380268311322,0.9019206762313843,0.520184675620902,0.315059697909525,0.5032051282051282,0.5904761856575964,26,1,NaN,NaN
8,grasp,transport,1,0.6818184285394925,0.9085397720336914,0.6356376986499299,0.4500096447619626,0.5938082804923537,0.6570048259796029,30,1,NaN,NaN
9,grasp,wipe,1,0.4192858485552686,0.892910897731781,0.4061771337527825,0.154263295817325,0.3594881699661999,0.5688888842097778,26,1,NaN,NaN
10,mix,cut,1,0.25033711410323567,0.8055232167243958,0.1991852701250966,0.029667973935950782,0.20998810939357904,0.37606837256446785,18,1,NaN,NaN
11,mix,grasp,1,0.5815235759810831,0.8509194850921631,0.4552027977551294,0.31622755233704575,0.4725781650435674,0.5942028937870196,17,1,NaN,NaN
12,mix,pour,1,0.5123029449274535,0.9119163751602173,0.5986046540289025,0.33889759370622735,0.5278846153846154,0.6824644501471216,27,1,NaN,NaN
13,mix,transport,1,0.6835726852419405,0.913354754447937,0.7377602915834487,0.5030933455880393,0.638567698619918,0.758620684743624,29,1,NaN,NaN
14,mix,wipe,1,0.4468184307891145,0.8901157379150391,0.44842123586899874,0.1799754121441755,0.3937711250603573,0.6334841582768576,27,1,NaN,NaN
15,pour,cut,1,0.4409714447761051,0.8513150811195374,0.38984168598434865,0.15595473232212836,0.3759809750297265,0.446043160924124,34,1,NaN,NaN
16,pour,grasp,1,0.7115623246722554,0.9062325358390808,0.5366109231399335,0.34496904440516324,0.5017939518195798,0.5333333283349863,26,1,NaN,NaN
17,pour,mix,1,0.49592125461200737,0.8517324924468994,0.4024651648918818,0.1337559288183779,0.36120495495495497,0.44155843700455394,28,0,NaN,NaN
18,pour,transport,1,0.5889802231560185,0.8857423663139343,0.6730836837488785,0.3537120277019647,0.5557627750839239,0.5497630282158981,32,1,NaN,NaN
19,pour,wipe,1,0.4069419403459676,0.9044622778892517,0.4468503168021108,0.15836684094337686,0.3722839208112023,0.5221238891123033,29,0,NaN,NaN
20,transport,cut,1,0.32514985678003283,0.7803515791893005,0.2330424261370419,0.07504231355861085,0.20760998810939357,0.34817813373567835,20,1,NaN,NaN
21,transport,grasp,1,0.6034070714577577,0.835652232170105,0.44543774172985723,0.30163488572073127,0.3439261916965659,0.5753424608669545,19,1,NaN,NaN
22,transport,mix,1,0.4571045111368239,0.8266201019287109,0.34819704466965645,0.15215707981187707,0.37190315315315314,0.4684684640857073,23,1,NaN,NaN
23,transport,pour,1,0.590892996798784,0.9139602780342102,0.6346919454529977,0.4064160918212361,0.5756410256410256,0.6976744137371553,29,1,NaN,NaN
