,Generated,Reference,WuP,GloVe-Similarity,BLEU,ROUGE-1,ROUGE-2,ROUGE-L,CodeBERTScore,chrF
0,Halve,Close,0.2,0.026859529316425323,0.8594955539454142,0.8064516079032258,0.6885245851639346,0.8064516079032258,0.9572662711143494,0.8642741108240543
1,Hold,Close,0.3333333333333333,0.7839381098747253,0.7119481307544,0.6993864981670368,0.5821596195190549,0.6993864981670368,0.9525299072265625,0.7031333319637207
2,Open,Close,0.3333333333333333,0.720828115940094,0.9861874720073875,0.9677419304838711,0.9426229458196722,0.9677419304838711,0.9875231385231018,0.9862722453087747
3,Pick-Up,Close,0.25,0.5153879523277283,0.8987617274900517,0.7934782558701561,0.6694214826036473,0.7934782558701561,0.9538750052452087,0.8572863554199986
4,Place-Down,Close,0.25,0.7576097846031189,0.7288003461689889,0.7208121777567059,0.5811320705030972,0.7208121777567059,0.9618819952011108,0.8497517585658393
5,Pour,Close,0.25,0.2032543271780014,0.7282998430398614,0.7959183623599543,0.6567164129505458,0.7959183623599543,0.9619125723838806,0.9365831310015417
6,Slice,Close,0.2222222222222222,0.38084927201271057,0.8594955539454142,0.8064516079032258,0.6885245851639346,0.8064516079032258,0.9579421281814575,0.8641906808783916
7,Wipe,Close,0.25,0.30312448740005493,0.9112986672016801,0.8064516079032258,0.6885245851639346,0.8064516079032258,0.9557784199714661,0.8687476748757947
8,Close,Halve,0.2,0.026859529316425323,0.008374641174515429,0.3571428540295919,0.2358974335863248,0.3571428540295919,0.912427544593811,0.17862001804059816
9,Hold,Halve,0.25,0.18634237349033356,5.3568407581507356e-05,0.25757575511134073,0.14973261858102893,0.25757575511134073,0.8886452913284302,0.10003845770068544
10,Open,Halve,0.25,0.13741867244243622,0.00842732226157995,0.3571428540295919,0.2358974335863248,0.3571428540295919,0.912408173084259,0.17994958308415035
11,Pick-Up,Halve,0.2,0.1682203710079193,5.3568407581507356e-05,0.25757575511134073,0.14973261858102893,0.25757575511134073,0.8913524746894836,0.09936856203307286
12,Place-Down,Halve,0.2,0.11310732364654541,0.854265617782223,0.7181818131855372,0.6747720314779058,0.7181818131855372,0.9542042016983032,0.8589182921611626
13,Pour,Halve,0.2,0.3157775104045868,0.7132574225334778,0.5172413743136892,0.40793200634047305,0.5172413743136892,0.9418365359306335,0.7942447368496607
14,Slice,Halve,0.18181818181818182,0.37714821100234985,0.9451104636323592,0.8749999950003987,0.8427299653264536,0.8749999950003987,0.9842811822891235,0.9532210672428727
15,Wipe,Halve,0.2,0.5097622871398926,0.00060729063691554,0.18840579413463562,0.1036269408274048,0.18840579413463562,0.8963831067085266,0.10402335498564812
16,Close,Hold,0.3333333333333333,0.7839381098747253,0.757493699983155,0.8383233483452258,0.75199999508192,0.8383233483452258,0.9629141092300415,0.8042690967398373
17,Halve,Hold,0.25,0.18634237349033356,0.69886941782425,0.6746987902395123,0.5599999950819201,0.6746987902395123,0.9639741778373718,0.7405953710003245
18,Open,Hold,0.5,0.739703357219696,0.7725132244733303,0.531073441335504,0.3809523759578151,0.5197740063072553,0.9437180161476135,0.7646939528918245
19,Pick-Up,Hold,0.3333333333333333,0.6284888386726379,0.9908818959118836,0.9782608645652174,0.9750889629715935,0.9782608645652174,0.9498135447502136,0.9937871705839774
20,Place-Down,Hold,0.3333333333333333,0.7480592727661133,0.9469298143515523,0.8695652123913045,0.8510638247872341,0.8695652123913045,0.9910721182823181,0.9482029233899171
21,Pour,Hold,0.3333333333333333,0.36530041694641113,0.4083908561345534,0.2631578899584488,0.10480348871760665,0.2631578899584488,0.9168421030044556,0.4696275609533167
22,Slice,Hold,0.2857142857142857,0.36973074078559875,0.6749165145127876,0.6428571379024943,0.5403225757391391,0.6428571379024943,0.9587191343307495,0.7171256787797953
23,Wipe,Hold,0.3333333333333333,0.43972694873809814,0.8811116708492883,0.8324324274325786,0.7632508783922886,0.8324324274325786,0.968498706817627,0.8972273810547943
24,Close,Open,0.3333333333333333,0.720828115940094,0.9861492080677762,0.9677419304838711,0.9426229458196722,0.9677419304838711,0.98732990026474,0.9873486612400796
25,Halve,Open,0.25,0.13741867244243622,0.8591269747864249,0.8064516079032258,0.6885245851639346,0.8064516079032258,0.9585163593292236,0.8643758461146316
26,Hold,Open,0.5,0.739703357219696,0.6821945864078625,0.6586826297952598,0.5244444394800988,0.6467065818910682,0.9078555107116699,0.7226629320950712
27,Pick-Up,Open,0.3333333333333333,0.494068443775177,0.9113753155926366,0.8064516079032258,0.6885245851639346,0.8064516079032258,0.959640622138977,0.8691050164224384
28,Place-Down,Open,0.3333333333333333,0.8066946268081665,0.9054057083725485,0.7956989197311828,0.6721311425409836,0.7956989197311828,0.9663606882095337,0.8654175947811996
29,Pour,Open,0.3333333333333333,0.2541566789150238,0.00042194978156801774,0.0943396204894981,0.0583941586339177,0.0943396204894981,0.794459879398346,0.13447719949920928
30,Slice,Open,0.2857142857142857,0.31941211223602295,0.8591269747864249,0.8064516079032258,0.6885245851639346,0.8064516079032258,0.9582833647727966,0.8639603633666454
31,Wipe,Open,0.3333333333333333,0.3229246437549591,0.31625299137115104,0.5199999952880001,0.3756345130510964,0.5199999952880001,0.9050540328025818,0.45283453723611
32,Close,Pick-Up,0.25,0.5153879523277283,0.9861492080677762,0.9677419304838711,0.9426229458196722,0.9677419304838711,0.98732990026474,0.9873486612400796
33,Halve,Pick-Up,0.2,0.1682203710079193,0.780483813274355,0.6298342491474619,0.4641350161014082,0.6298342491474619,0.9525914788246155,0.7761784089843657
34,Hold,Pick-Up,0.3333333333333333,0.6284888386726379,0.3644331522163111,0.4444444398697917,0.3118279524754307,0.43055555098090276,0.9447171092033386,0.44053344468348143
35,Open,Pick-Up,0.3333333333333333,0.494068443775177,1.0,0.999999995,0.999999995,0.999999995,0.9999998211860657,1.0
36,Place-Down,Pick-Up,0.25,0.6661379933357239,0.8624897401161744,0.7956989197311828,0.6721311425409836,0.7956989197311828,0.9729565978050232,0.8616151306965576
37,Pour,Pick-Up,0.25,0.16679634153842926,0.00042194978156801774,0.0943396204894981,0.0583941586339177,0.0943396204894981,0.794459879398346,0.13447719949920928
38,Slice,Pick-Up,0.2222222222222222,0.44728294014930725,0.4470884159972269,0.4967320213763937,0.3417085379692432,0.4836601259515571,0.8911951780319214,0.5419818846419443
39,Wipe,Pick-Up,0.25,0.29693812131881714,0.9110509354685173,0.8064516079032258,0.6885245851639346,0.8064516079032258,0.9562915563583374,0.8687752613054821
40,Close,Place-Down,0.25,0.7576097846031189,0.29983857140470427,0.4258064472424558,0.29665071334722193,0.4258064472424558,0.9076930284500122,0.46564301828224175
41,Halve,Place-Down,0.2,0.11310732364654541,0.5976553271727874,0.7528089839256407,0.700421936124909,0.7528089839256407,0.9472892880439758,0.6714405518650404
42,Hold,Place-Down,0.3333333333333333,0.7480592727661133,0.28455119378762245,0.6114649637226663,0.568720374745401,0.6114649637226663,0.9350667595863342,0.4623536689251089
43,Open,Place-Down,0.3333333333333333,0.8066946268081665,0.010718201320694927,0.1111111083333334,0.04733727542172909,0.1111111083333334,0.8390369415283203,0.1826695481235638
44,Pick-Up,Place-Down,0.25,0.6661379933357239,0.9609833926538408,0.920187788428222,0.8788927285655105,0.920187788428222,0.9918749928474426,0.9750350268686874
45,Pour,Place-Down,0.25,0.2918168306350708,0.4906325889941843,0.36809815492491255,0.1957446760684474,0.3312883389739923,0.9195896983146667,0.5613596712863557
46,Slice,Place-Down,0.2222222222222222,0.4426504373550415,0.9875308977601578,0.9619047569047621,0.9436619668309859,0.9619047569047621,0.9970830678939819,0.9905264086509029
47,Wipe,Place-Down,0.25,0.32125502824783325,0.964690447790871,0.9047618997619049,0.8450704175352114,0.8952380902380953,0.9902405738830566,0.9585463472674434
48,Close,Pour,0.25,0.2032543271780014,1.1293087751622998e-09,0.09523809367074831,0.024539876367194888,0.09523809367074831,0.8334658741950989,0.047449863128621574
49,Halve,Pour,0.2,0.3157775104045868,0.9379000416372295,0.8272251258901895,0.7935483820967743,0.8272251258901895,0.9807723760604858,0.9467948919706767
50,Hold,Pour,0.3333333333333333,0.36530041694641113,0.0017884696992263786,0.33898304781384664,0.13407820996847794,0.30508474272910086,0.9038447737693787,0.13395456114356769
51,Open,Pour,0.3333333333333333,0.2541566789150238,0.4448198259699243,0.7116564368760586,0.6269841222489922,0.7116564368760586,0.944401741027832,0.5834588041591798
52,Pick-Up,Pour,0.25,0.16679634153842926,0.5875712903232729,0.7764705833190312,0.7185185136282579,0.7764705833190312,0.959608793258667,0.6914296045364164
53,Place-Down,Pour,0.25,0.2918168306350708,0.4665602577696635,0.6415094291776434,0.4615384568637414,0.6289308128254422,0.9523100256919861,0.5998567865511141
54,Slice,Pour,0.2222222222222222,0.5407348275184631,0.9379000416372295,0.8229166616666667,0.7935483820967743,0.8229166616666667,0.99008709192276,0.943693368416187
55,Wipe,Pour,0.25,0.509205162525177,0.6886125797412063,0.777142852190041,0.6859205726882927,0.777142852190041,0.9516355991363525,0.7483299763790018
56,Close,Slice,0.2222222222222222,0.38084927201271057,0.012027208066673001,0.4098360621271164,0.26436781355000666,0.4098360621271164,0.917663037776947,0.19119938300899833
57,Halve,Slice,0.18181818181818182,0.37714821100234985,0.0039367223535458,0.38655461862862794,0.19540229630862732,0.3697478959395524,0.9107035994529724,0.15665399328358207
58,Hold,Slice,0.2857142857142857,0.36973074078559875,0.00010554320583419535,0.29824561125731,0.16867469686166353,0.29824561125731,0.8909069299697876,0.10674558078934197
59,Open,Slice,0.2857142857142857,0.31941211223602295,0.012102865803177775,0.4098360621271164,0.26436781355000666,0.4098360621271164,0.9123824834823608,0.19262261598699507
60,Pick-Up,Slice,0.2222222222222222,0.44728294014930725,0.0001306158394851928,0.29824561125731,0.16867469686166353,0.29824561125731,0.8945995569229126,0.1055493889563292
61,Place-Down,Slice,0.2222222222222222,0.4426504373550415,0.00021412135577609324,0.29310344531064214,0.16666666456916102,0.29310344531064214,0.8994517922401428,0.11118103033984422
62,Pour,Slice,0.2222222222222222,0.5407348275184631,0.00046373952316302176,0.18965516944857316,0.09523809314058962,0.18965516944857316,0.8931090831756592,0.10387953441698305
63,Wipe,Slice,0.2222222222222222,0.5417711138725281,0.0010639770941268903,0.24999999670138892,0.11627906736614392,0.24999999670138892,0.9013088345527649,0.11662227564561456
64,Close,Wipe,0.25,0.30312448740005493,0.8674493843800518,0.687499995,0.5473684160526316,0.687499995,0.9872065186500549,0.8627449533413278
65,Halve,Wipe,0.2,0.5097622871398926,0.870641483914287,0.6929133808270816,0.5473684160526316,0.6929133808270816,0.9763416051864624,0.8615496528735257
