,Generated,Reference,WuP,GloVe-Similarity,BLEU,ROUGE-1,ROUGE-2,ROUGE-L,CodeBERTScore,chrF
0,Halve,Close-Container,0.2,0.026859529316425323,0.8594955539454142,0.8064516079032258,0.6885245851639346,0.8064516079032258,0.9572662711143494,0.8642741108240543
1,Hold,Close-Container,0.3333333333333333,0.7839381098747253,0.7123387626563539,0.7393939344749312,0.6261682193973274,0.7393939344749312,0.951808512210846,0.7038324839271167
2,Open-Container,Close-Container,0.3333333333333333,0.720828115940094,0.9861874720073875,0.9677419304838711,0.9426229458196722,0.9677419304838711,0.9875231385231018,0.9862722453087747
3,Pick-Up,Close-Container,0.25,0.5153879523277283,0.9056693681561176,0.7999999950001462,0.6748971143416485,0.7999999950001462,0.9572744965553284,0.8617338208719763
4,Place-Down,Close-Container,0.25,0.7576097846031189,0.7288003461689889,0.7208121777567059,0.5811320705030972,0.7208121777567059,0.9618819952011108,0.8497517585658393
5,Pour,Close-Container,0.25,0.2032543271780014,0.39602526338940763,0.417777772928,0.2793650746190981,0.417777772928,0.9520095586776733,0.810096310631322
6,Slice,Close-Container,0.2222222222222222,0.38084927201271057,0.8594955539454142,0.8064516079032258,0.6885245851639346,0.8064516079032258,0.9579421281814575,0.8641906808783916
7,Wipe,Close-Container,0.25,0.30312448740005493,0.9112986672016801,0.8064516079032258,0.6885245851639346,0.8064516079032258,0.9557784199714661,0.8687476748757947
8,Close-Container,Halve,0.2,0.026859529316425323,0.008374641174515429,0.3571428540295919,0.2358974335863248,0.3571428540295919,0.912427544593811,0.17862001804059816
9,Hold,Halve,0.25,0.18634237349033356,5.3568407581507356e-05,0.25757575511134073,0.14973261858102893,0.25757575511134073,0.8886452913284302,0.10003845770068544
10,Open-Container,Halve,0.25,0.13741867244243622,0.00842732226157995,0.3571428540295919,0.2358974335863248,0.3571428540295919,0.912408173084259,0.17994958308415035
11,Pick-Up,Halve,0.2,0.1682203710079193,5.3568407581507356e-05,0.25757575511134073,0.14973261858102893,0.25757575511134073,0.8913524746894836,0.09936856203307286
12,Place-Down,Halve,0.2,0.11310732364654541,0.854265617782223,0.7181818131855372,0.6747720314779058,0.7181818131855372,0.9542042016983032,0.8589182921611626
13,Pour,Halve,0.2,0.3157775104045868,0.7132574225334778,0.5172413743136892,0.40793200634047305,0.5172413743136892,0.9418365359306335,0.7942447368496607
14,Slice,Halve,0.18181818181818182,0.37714821100234985,0.9451104636323592,0.8749999950003987,0.8427299653264536,0.8749999950003987,0.9842811822891235,0.9532210672428727
15,Wipe,Halve,0.2,0.5097622871398926,0.00060729063691554,0.18840579413463562,0.1036269408274048,0.18840579413463562,0.8963831067085266,0.10402335498564812
16,Close-Container,Hold,0.3333333333333333,0.7839381098747253,0.757493699983155,0.8383233483452258,0.75199999508192,0.8383233483452258,0.9629141092300415,0.8042690967398373
17,Halve,Hold,0.25,0.18634237349033356,0.69886941782425,0.6746987902395123,0.5599999950819201,0.6746987902395123,0.9639741778373718,0.7405953710003245
18,Open-Container,Hold,0.5,0.739703357219696,0.29858652060582863,0.331034478120333,0.16901408003173987,0.331034478120333,0.9221999645233154,0.4558321622684161
19,Pick-Up,Hold,0.3333333333333333,0.6284888386726379,0.9908818959118836,0.9782608645652174,0.9750889629715935,0.9782608645652174,0.9498135447502136,0.9937871705839774
20,Place-Down,Hold,0.3333333333333333,0.7480592727661133,0.9469298143515523,0.8695652123913045,0.8510638247872341,0.8695652123913045,0.9910721182823181,0.9482029233899171
21,Pour,Hold,0.3333333333333333,0.36530041694641113,0.6838825666818603,0.4712041834883912,0.3605442126954047,0.4712041834883912,0.9416252970695496,0.7658923371466884
22,Slice,Hold,0.2857142857142857,0.36973074078559875,0.6749165145127876,0.6428571379024943,0.5403225757391391,0.6428571379024943,0.9587191343307495,0.7171256787797953
23,Wipe,Hold,0.3333333333333333,0.43972694873809814,0.8811116708492883,0.8324324274325786,0.7632508783922886,0.8324324274325786,0.9682559967041016,0.8971789817156263
24,Close-Container,Open-Container,0.3333333333333333,0.720828115940094,0.9861492080677762,0.9677419304838711,0.9426229458196722,0.9677419304838711,0.98732990026474,0.9873486612400796
25,Halve,Open-Container,0.25,0.13741867244243622,0.8591269747864249,0.8064516079032258,0.6885245851639346,0.8064516079032258,0.9585163593292236,0.8643758461146316
26,Hold,Open-Container,0.5,0.739703357219696,0.6821945864078625,0.6586826297952598,0.5244444394800988,0.6467065818910682,0.9078555107116699,0.7226629320950712
27,Pick-Up,Open-Container,0.3333333333333333,0.494068443775177,0.9113753155926366,0.8064516079032258,0.6885245851639346,0.8064516079032258,0.959640622138977,0.8691050164224384
28,Place-Down,Open-Container,0.3333333333333333,0.8066946268081665,0.9054057083725485,0.7956989197311828,0.6721311425409836,0.7956989197311828,0.9663606882095337,0.8654175947811996
29,Pour,Open-Container,0.3333333333333333,0.2541566789150238,0.00042194978156801774,0.0943396204894981,0.0583941586339177,0.0943396204894981,0.794459879398346,0.13447719949920928
