,WuP,GloVe-Similarity,Sensorimotor Distance,BLEU,ROUGE-1,ROUGE-2,ROUGE-L,CodeBERTScore,chrF,LoC,Generated,Reference
0,0.2,0.026859529316425303,0.0855097373008226,0.8058186800561058,0.7454639303070882,0.6155255495225356,0.7368152816584397,0.9548838019371033,0.7750904171524984,44.2,Halve,Close
1,0.3333333333333333,0.7839381098747253,0.143589044210939,0.06049199471499593,0.35040351820188886,0.2556686118636518,0.35040351820188886,0.9061787247657775,0.24499240511587908,13.0,Hold,Close
2,0.3333333333333333,0.720828115940094,0.045264758045214,0.9861874720073877,0.9677419304838712,0.9426229458196722,0.9677419304838712,0.9799503087997437,0.9862722453087749,47.0,Open,Close
3,0.25,0.5153879523277283,0.0702866678284649,0.7710669018974385,0.7244092410758576,0.6020061332361216,0.7244092410758576,0.961051344871521,0.7545326691600442,40.6,Pick-Up,Close
4,0.25,0.7576097846031189,0.0519029166068075,0.36331327728324225,0.47270551184557597,0.32942812320789344,0.46102667972878786,0.9445201873779296,0.4828814750696557,28.4,Place-Down,Close
5,0.25,0.2032543271780014,0.0815941431836668,0.6295046337126434,0.6993119459474313,0.5713346601325416,0.6993119459474313,0.961734127998352,0.9117955725657458,66.0,Pour,Close
6,0.22222222222222224,0.3808492720127105,0.0887489492764253,0.732708962457943,0.6915471247410465,0.5577791067687896,0.6915471247410465,0.9518925666809082,0.746004444523994,44.4,Slice,Close
7,0.25,0.3031244874000549,0.1558799708666,0.9034985150011898,0.7974425988942752,0.6737704868032788,0.7974425988942752,0.9807753920555115,0.8593674479438629,47.0,Wipe,Close
8,0.2,0.026859529316425303,0.0855097373008226,0.5587015322871843,0.6488311643615053,0.5976906527141305,0.6488311643615053,0.9387597799301147,0.6247700023646326,39.4,Close,Halve
9,0.25,0.1863423734903335,0.0978263036860699,0.29509579575621653,0.5544167006474212,0.48153006422169875,0.5544167006474212,0.9305528402328491,0.441946234842745,28.6,Hold,Halve
10,0.25,0.1374186724424362,0.0827258509852445,0.8185150400861321,0.7178383409008808,0.675871075171092,0.7178383409008808,0.9630928397178649,0.8298539664229182,53.8,Open,Halve
11,0.2,0.1682203710079193,0.0710081231639225,0.5359159434368965,0.6318054354585142,0.5715949366967483,0.6318054354585142,0.9366446375846863,0.6051873798213602,37.4,Pick-Up,Halve
12,0.2,0.11310732364654538,0.114183228214588,0.5858983722905974,0.5268203839733999,0.4703050382767338,0.5268203839733999,0.9336594820022583,0.6228842150322315,42.2,Place-Down,Halve
13,0.2,0.3157775104045868,0.0776414292502186,0.7157794395861732,0.5200390320922674,0.411327953169642,0.5200390320922674,0.9429585933685303,0.778931879236727,62.0,Pour,Halve
14,0.1818181818181818,0.3771482110023498,0.0934805650414641,0.7702706973377426,0.8028571382348086,0.7498224807448785,0.8028571382348086,0.972518265247345,0.7994174501899229,49.0,Slice,Halve
15,0.2,0.5097622871398926,0.11827822412400799,0.6270627746409276,0.5129670283743355,0.4496966711195155,0.5129670283743355,0.9389465332031248,0.6535186862206568,47.4,Wipe,Halve
16,0.3333333333333333,0.7839381098747253,0.143589044210939,0.8733024458408953,0.8349443049373427,0.7625012075866064,0.8077481790293526,0.9577890753746032,0.8785893365767505,47.6,Close,Hold
17,0.25,0.1863423734903335,0.0978263036860699,0.7545395581434653,0.6941420396601649,0.5870365449889093,0.6711540499868007,0.955469834804535,0.7852392891223838,44.6,Halve,Hold
18,0.5,0.739703357219696,0.103886621549432,0.8776181977045292,0.8480479008897908,0.7818971899642071,0.8202197097222165,0.9627096056938171,0.8852172510678369,47.2,Open,Hold
19,0.3333333333333333,0.6284888386726379,0.0669021654064496,0.786399011763408,0.8590964544248697,0.8133333288363473,0.8522588475872628,0.9743726968765258,0.8240522368203799,43.2,Pick-Up,Hold
20,0.3333333333333333,0.7480592727661133,0.23493731438943302,0.6959655012137402,0.6744876148065163,0.5463810811440076,0.6391294215763665,0.9477872610092163,0.775465434633922,46.6,Place-Down,Hold
21,0.3333333333333333,0.3653004169464111,0.11875767443836001,0.5879545303367509,0.4258478867646137,0.29147834591740457,0.40515774598352633,0.9373052954673767,0.6695115755042058,45.8,Pour,Hold
22,0.2857142857142857,0.3697307407855987,0.0513302142817702,0.8435604485924044,0.7672663618298036,0.6938623103773476,0.7396801549332517,0.9597134947776794,0.8492557122687485,48.0,Slice,Hold
