,Wu-Palmer Similarity rho,Wu-Palmer Similarity p,Cosine Similarity GloVe rho,Cosine Similarity GloVe p,Sensorimotor Distance rho,Sensorimotor Distance p,Same Author rho,Same Author p
chrF,0.15047943211894904,0.06605469542053848,-0.22502113415502636,0.005631891017606201,0.19986039283202212,0.014202705492248013,0.16513891191258595,0.043435462519413444
CodeBERTScore,0.20103905522260795,0.01363043943569756,-0.24861157363202893,0.002157138981691912,0.2863879882034095,0.00038101482456653104,0.3691533998603994,3.341467644991016e-06
CodeBLEU,0.16692627820092232,0.04118464301562293,-0.26557980827740446,0.0010210705283441497,0.1979018619651673,0.015200072678822,0.23789432210736633,0.003374055424491473
CrystalBLEU,0.13285014732214726,0.10509141496381658,-0.18300471054974202,0.024990076655170147,0.2450873212172494,0.0025042675866683768,0.2163373627137149,0.00783775104067861
Edit Distance,0.08341175217659527,0.31019886324096885,-0.1741639909486598,0.03304476138400689,0.2036546196595287,0.012432040836209707,0.15705421153057503,0.05493993254360444
ROUGE-L,0.0274897727906253,0.7384352297720975,-0.09845216384152232,0.23067760426208994,0.176643674237287,0.0305896701624386,0.3422142854618826,1.816450251942007e-05
LoC,-0.5470057181803635,4.4137616596179947e-13,0.43241980000058694,3.277882042697241e-08,-0.3190505779221894,6.909623248866889e-05,0.029104936316705177,0.723673023145264
Compilation Success,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Run Success,-0.02766416675862441,0.7957692835145002,0.057282196186948006,0.5917712660541272,-0.07364853795464743,0.49028068414610637,0.17677669529663692,0.0955615668992879
Simulation,-0.008866251707425239,0.9629119154991599,0.012588828594761016,0.9473583599348004,-0.16725157990182493,0.3770229205553782,-0.048562460606754974,0.7988501350229054
