model,BLEU,ROUGE-1,ROUGE-2,ROUGE-L,CodeBERTScore,chrF,LoC,Compilation
gpt-3.5-turbo-0301,0.5694496428663728,0.609479907749985,0.5060474762863317,0.5994540649590357,0.9360279192527136,0.6510908610773805,36.69166666666667,1.0
gpt-3.5-turbo-0613,0.559211175864116,0.5972065225560825,0.4935435819980632,0.5954243210921119,0.9379716015524334,0.6248806302566622,32.638888888888886,1.0
gpt-4-0613,0.6273288744665503,0.6463847079127161,0.5519502529583451,0.6392700341329621,0.9456121431456672,0.6943896424750559,37.827777777777776,1.0
llama-3.3-70b-instruct,0.7695600634734912,0.25390067101553265,0.11504035371065777,0.2519719540490828,0.9541703056957986,0.8197747408663701,46.33888888888889,1.0
gemma-2-27b-it,0.5971330000080747,0.5645322368445885,0.498374930412539,0.5594432260344312,0.7623048560486899,0.630314985511321,33.91388888888889,0.7944444444444444
