,WuP,GloVe-Similarity,Sensorimotor Distance,BLEU,ROUGE-1,ROUGE-2,ROUGE-L,CodeBERTScore,chrF,LoC,Generated,Reference
0,0.2,0.026859529316425303,0.0855097373008226,0.8594955539454142,0.8064516079032258,0.6885245851639346,0.8064516079032258,0.9572662711143494,0.8642741108240543,47.0,Halve,Close
1,0.3333333333333333,0.7839381098747253,0.143589044210939,0.7120262571347908,0.7073879854286156,0.5909613394947094,0.7073879854286156,0.952385628223419,0.7032731623563999,39.0,Hold,Close
2,0.3333333333333333,0.720828115940094,0.045264758045214,0.9861874720073877,0.9677419304838712,0.9426229458196722,0.9677419304838712,0.9875231385231018,0.9862722453087749,47.0,Open,Close
3,0.25,0.5153879523277283,0.0702866678284649,0.9029063118896913,0.7973912993481501,0.672706861646448,0.7973912993481501,0.9559147000312805,0.8599548346911853,46.6,Pick-Up,Close
4,0.25,0.7576097846031189,0.0519029166068075,0.7288003461689889,0.7208121777567059,0.5811320705030972,0.7208121777567059,0.9618819952011108,0.8497517585658393,55.0,Place-Down,Close
5,0.25,0.2032543271780014,0.0815941431836668,0.6618449271097706,0.7202902444735634,0.5812461452842562,0.7202902444735634,0.9599319696426392,0.9112857669274976,61.4,Pour,Close
6,0.22222222222222224,0.3808492720127105,0.0887489492764253,0.8594955539454142,0.8064516079032258,0.6885245851639346,0.8064516079032258,0.9579421281814577,0.8641906808783915,47.0,Slice,Close
7,0.25,0.3031244874000549,0.1558799708666,0.9112986672016798,0.8064516079032258,0.6885245851639346,0.8064516079032258,0.9557784199714658,0.8687476748757949,47.0,Wipe,Close
8,0.2,0.026859529316425303,0.0855097373008226,0.0083746411745154,0.3571428540295919,0.2358974335863248,0.3571428540295919,0.912427544593811,0.1786200180405981,13.0,Close,Halve
9,0.25,0.1863423734903335,0.0978263036860699,5.356840758150736e-05,0.2575757551113407,0.1497326185810289,0.2575757551113407,0.8886452913284302,0.1000384577006854,9.0,Hold,Halve
10,0.25,0.1374186724424362,0.0827258509852445,0.0084273222615799,0.3571428540295919,0.2358974335863248,0.3571428540295919,0.912408173084259,0.1799495830841503,13.0,Open,Halve
11,0.2,0.1682203710079193,0.0710081231639225,5.356840758150736e-05,0.2575757551113407,0.1497326185810289,0.2575757551113407,0.8913524746894836,0.0993685620330728,9.0,Pick-Up,Halve
12,0.2,0.11310732364654538,0.114183228214588,0.8542656177822231,0.7181818131855372,0.6747720314779058,0.7181818131855372,0.9542042016983032,0.8589182921611626,55.0,Place-Down,Halve
13,0.2,0.3157775104045868,0.0776414292502186,0.7167729075192859,0.5258620639688616,0.4160990163840298,0.5258620639688616,0.9417388558387756,0.7954461517408907,63.0,Pour,Halve
14,0.1818181818181818,0.3771482110023498,0.0934805650414641,0.9451104636323592,0.8749999950003987,0.8427299653264535,0.8749999950003987,0.9842811822891238,0.9532210672428729,58.0,Slice,Halve
15,0.2,0.5097622871398926,0.11827822412400799,0.0006072906369155,0.1884057941346356,0.1036269408274048,0.1884057941346356,0.8963831067085266,0.1040233549856481,12.0,Wipe,Halve
16,0.3333333333333333,0.7839381098747253,0.143589044210939,0.757493699983155,0.8383233483452258,0.75199999508192,0.8383233483452258,0.9629141092300417,0.8042690967398374,41.0,Close,Hold
17,0.25,0.1863423734903335,0.0978263036860699,0.69886941782425,0.6746987902395123,0.5599999950819201,0.6746987902395123,0.9639741778373718,0.7405953710003245,41.0,Halve,Hold
18,0.5,0.739703357219696,0.103886621549432,0.4886059133850531,0.41556983741770087,0.2555400986825468,0.4110500634064014,0.9332697033882141,0.5795817569331548,33.2,Open,Hold
19,0.3333333333333333,0.6284888386726379,0.0669021654064496,0.9908818959118836,0.9782608645652175,0.9750889629715938,0.9782608645652175,0.9498135447502136,0.9937871705839774,52.0,Pick-Up,Hold
20,0.3333333333333333,0.7480592727661133,0.23493731438943302,0.9449096107338644,0.8664629797238834,0.8482269453546099,0.8664629797238834,0.9910924077033997,0.9469699193405454,52.0,Place-Down,Hold
21,0.3333333333333333,0.3653004169464111,0.11875767443836001,0.4725787104863758,0.3017498053613535,0.15641106023360568,0.3017498053613535,0.9226855635643005,0.5327630263006584,41.2,Pour,Hold
22,0.2857142857142857,0.3697307407855987,0.0513302142817702,0.6749165145127876,0.6428571379024943,0.5403225757391391,0.6428571379024943,0.9587191343307497,0.7171256787797953,41.0,Slice,Hold
23,0.3333333333333333,0.43972694873809803,0.0158176034997597,0.8812655492058588,0.8324324274325786,0.7649866666262223,0.8324324274325786,0.9692104816436767,0.8986221125812289,52.0,Wipe,Hold
24,0.3333333333333333,0.720828115940094,0.045264758045214,0.9861492080677762,0.9677419304838712,0.9426229458196722,0.9677419304838712,0.98732990026474,0.9873486612400797,46.0,Close,Open
25,0.25,0.1374186724424362,0.0827258509852445,0.859126974786425,0.8064516079032258,0.6885245851639346,0.8064516079032258,0.9585163593292236,0.8643758461146316,46.0,Halve,Open
26,0.5,0.739703357219696,0.103886621549432,0.6665932752182963,0.653775371146886,0.5190947211064729,0.6441945328235328,0.9071265697479249,0.7081804354394267,23.8,Hold,Open
27,0.3333333333333333,0.494068443775177,0.0311757950604205,0.9113753155926366,0.8064516079032258,0.6885245851639346,0.8064516079032258,0.959640622138977,0.8691050164224384,46.0,Pick-Up,Open
28,0.3333333333333333,0.8066946268081665,0.123578364246354,0.9054057083725484,0.7956989197311828,0.6721311425409836,0.7956989197311828,0.9663606882095335,0.8654175947811996,46.0,Place-Down,Open
29,0.3333333333333333,0.2541566789150238,0.0784764079700592,0.000421949781568,0.0943396204894981,0.058394158633917705,0.0943396204894981,0.794459879398346,0.1344771994992092,4.0,Pour,Open
30,0.2857142857142857,0.3194121122360229,0.0770675081437801,0.859126974786425,0.8064516079032258,0.6885245851639346,0.8064516079032258,0.9593061089515686,0.8639603633666454,46.0,Slice,Open
31,0.3333333333333333,0.3229246437549591,0.139307387341262,0.316252991371151,0.5199999952880001,0.3756345130510964,0.5199999952880001,0.9050540328025818,0.45283453723611,21.0,Wipe,Open
32,0.25,0.5153879523277283,0.0702866678284649,0.0444364425118974,0.20618556339249663,0.075187966349709,0.20618556339249663,0.8465750217437744,0.23221266012225011,8.0,Close,Pick-Up
33,0.2,0.1682203710079193,0.0710081231639225,0.7913087759444688,0.6581560233811177,0.514972485800808,0.6581560233811177,0.9487685680389404,0.7940234938319894,33.0,Halve,Pick-Up
34,0.3333333333333333,0.6284888386726379,0.0669021654064496,0.9769677123520968,0.9594594544594596,0.9411764655882354,0.9594594544594596,0.9774677753448486,0.9820087124361402,37.0,Hold,Pick-Up
35,0.3333333333333333,0.494068443775177,0.0311757950604205,0.14077990985225636,0.3853210965575288,0.2344827544485136,0.3853210965575288,0.8825572013854981,0.32936619059546574,12.0,Open,Pick-Up
36,0.25,0.6661379933357239,0.169426303267544,0.9782543013156374,0.9594594544594596,0.9411764655882354,0.9594594544594596,0.9865692853927612,0.983726023404586,37.0,Place-Down,Pick-Up
37,0.25,0.1667963415384292,0.0699600588276674,0.19852476317667608,0.15022334174233293,0.053181127086014204,0.13498524650423774,0.8732917785644532,0.3324214210373702,14.2,Pour,Pick-Up
38,0.22222222222222224,0.44728294014930714,0.0743805998594153,0.5501693111787028,0.5288167890076265,0.4019264561602416,0.5288167890076265,0.9205325126647947,0.613823108632753,24.8,Slice,Pick-Up
39,0.25,0.2969381213188171,0.0946885101065148,0.2386104105343835,0.1769911459221553,0.062111796598897,0.1769911459221553,0.8880835175514221,0.3667090451641588,16.0,Wipe,Pick-Up
40,0.25,0.7576097846031189,0.0519029166068075,0.1829465341741386,0.30362436316465746,0.1971631030625145,0.30362436316465746,0.8784309029579163,0.34650260932513466,14.8,Close,Place-Down
41,0.2,0.11310732364654538,0.114183228214588,0.5976553271727874,0.7528089839256407,0.700421936124909,0.7528089839256407,0.9472892880439758,0.6714405518650404,32.0,Halve,Place-Down
42,0.3333333333333333,0.7480592727661133,0.23493731438943302,0.2845511937876224,0.6114649637226663,0.568720374745401,0.6114649637226663,0.9350667595863342,0.4623536689251089,20.0,Hold,Place-Down
43,0.3333333333333333,0.8066946268081665,0.123578364246354,0.02123599739306134,0.13384223624643093,0.055521008051722366,0.13384223624643093,0.8517746686935425,0.20283871296901573,8.8,Open,Place-Down
44,0.25,0.6661379933357239,0.169426303267544,0.9196327531234436,0.895823803500452,0.8756950194839839,0.895823803500452,0.9667944431304931,0.9407874630943471,43.0,Pick-Up,Place-Down
45,0.25,0.2918168306350708,0.11328961037275101,0.5693157022362818,0.4736941657221864,0.30251630676745034,0.4475218215388854,0.9329026699066162,0.6655788678887864,37.8,Pour,Place-Down
