metric,BLEU_r,BLEU_p,ROUGE-1_r,ROUGE-1_p,ROUGE-2_r,ROUGE-2_p,ROUGE-L_r,ROUGE-L_p,CodeBERTScore_r,CodeBERTScore_p,chrF_r,chrF_p,LoC_r,LoC_p
WuP,-0.129,0.01412,-0.124,0.0182,-0.144,0.00631,-0.125,0.01774,-0.205,9e-05,-0.121,0.02221,-0.119,0.02386
GloVe-Similarity,-0.007,0.88953,-0.067,0.20275,-0.068,0.19547,-0.052,0.32706,-0.043,0.42077,-0.051,0.33344,-0.155,0.0032
Sensorimotor Distance,0.147,0.00506,0.163,0.00191,0.161,0.00212,0.146,0.00561,0.072,0.17555,0.128,0.01525,0.063,0.23514
