metric,BLEU_r,BLEU_p,ROUGE-1_r,ROUGE-1_p,ROUGE-2_r,ROUGE-2_p,ROUGE-L_r,ROUGE-L_p,CodeBERTScore_r,CodeBERTScore_p,chrF_r,chrF_p,LoC_r,LoC_p,Compilation_r,Compilation_p
WuP,0.008,0.87912,0.094,0.07443,0.06,0.25526,0.092,0.08097,0.058,0.27399,0.045,0.39708,-0.106,0.0436,-0.195,0.00019
GloVe-Similarity,-0.047,0.37637,-0.052,0.32637,-0.043,0.41768,-0.044,0.40606,-0.065,0.21541,-0.064,0.22319,-0.239,0.0,-0.037,0.48318
Sensorimotor Distance,-0.134,0.01078,-0.232,1e-05,-0.254,0.0,-0.238,0.0,-0.175,0.00088,-0.17,0.0012,-0.152,0.00391,0.019,0.71236
