,Target Name,Reference Name,run,chrF,CodeBERTScore,CodeBLEU,CrystalBLEU,Edit Distance,ROUGE-L,LoC,Compilation Success,Run Success,Simulation
0,cut,grasp,1,0.5590654347549039,0.8769866824150085,0.43220915956432837,0.28672363384195426,0.4930727362691737,0.5491525374997989,43,1,NaN,NaN
1,cut,mix,1,0.7885305295606337,0.927442729473114,0.5924146062542734,0.5690779406943188,0.6427511133102424,0.7204968894292272,56,1,NaN,NaN
2,cut,pour,1,0.5993527762464296,0.8511160016059875,0.4402996824908738,0.3164417243528656,0.5051954477981198,0.4836601257881584,48,1,NaN,NaN
3,cut,transport,1,0.5728725465894714,0.8433817625045776,0.39560355777089257,0.3580251489935927,0.5039584364176151,0.46006389280650006,50,1,NaN,NaN
4,cut,wipe,1,0.605687724308647,0.8291266560554504,0.4350293896863643,0.21453431715775428,0.4429387755102041,0.4858044114348834,92,1,NaN,NaN
5,grasp,cut,1,0.7051128381619532,0.8710291981697083,0.5267625717198277,0.2783725214206518,0.4139705882352941,0.605714280734041,45,1,NaN,NaN
6,grasp,mix,1,0.7472533422459199,0.9140500426292419,0.5539806277210919,0.5107945068949797,0.6184631803628602,0.7030302980304868,29,1,NaN,NaN
7,grasp,pour,1,0.6810972205783287,0.8559285998344421,0.5513453565824339,0.32395091825988376,0.4929513415188722,0.5297297247941565,32,1,NaN,NaN
8,grasp,transport,1,0.690433371806669,0.8914837837219238,0.5503638438413994,0.39507758323715403,0.6173959445037354,0.5371428521626121,27,1,NaN,NaN
9,grasp,wipe,1,0.7313100952903614,0.8638772964477539,0.5788466709262563,0.4189951058288752,0.5753098188751191,0.5730994102130572,31,1,NaN,NaN
10,mix,cut,1,0.5846924980125442,0.8516415357589722,0.5038471203544997,0.24083186223265596,0.5076157000585824,0.4664310904139145,47,1,NaN,NaN
11,mix,grasp,1,0.4293982978805357,0.805886447429657,0.2927048467464791,0.26505409624051673,0.4214997070884593,0.3804878008204641,31,1,NaN,NaN
12,mix,pour,1,0.5461642213305117,0.8263057470321655,0.43549050869974126,0.27966508114756927,0.48125366139425896,0.444444439458897,44,1,NaN,NaN
13,mix,transport,1,0.4654049912740514,0.8283215761184692,0.37714839075892376,0.21070732444346432,0.38810779144698304,0.3984374951101685,36,1,NaN,NaN
14,mix,wipe,1,0.5498001035086195,0.8345363140106201,0.424706097873763,0.23837821454108685,0.4847685998828354,0.40140844571042456,59,1,NaN,NaN
15,pour,cut,1,0.7517569669403201,0.8676685094833374,0.5357787880850393,0.30356404531852416,0.4899345747357826,0.5078124950027467,48,1,NaN,NaN
16,pour,grasp,1,0.7494528315991795,0.8674620985984802,0.48016623515733337,0.3177523059571048,0.5605446118192352,0.4954954905750346,40,1,NaN,NaN
17,pour,mix,1,0.7754451181797583,0.8742364048957825,0.5810205778212748,0.35264830188947255,0.601933216168717,0.5316455646352971,40,1,NaN,NaN
18,pour,transport,1,0.8795291196173366,0.9329524040222168,0.768546701659236,0.6004827884355071,0.7510809141445336,0.6999999950073965,43,1,NaN,NaN
19,pour,wipe,1,0.9164042370784843,0.9501379132270813,0.7840496580238299,0.7452851280695921,0.7900031436655139,0.795180717891647,42,1,NaN,NaN
20,transport,cut,1,0.736429244441148,0.8853811025619507,0.5205618591633782,0.3977330571087519,0.63084495488105,0.5284974044393139,26,1,NaN,NaN
21,transport,grasp,1,0.5594246323062539,0.8645160794258118,0.39878842499376266,0.24576498096872887,0.44831829368334697,0.5257142810749388,21,1,NaN,NaN
22,transport,mix,1,0.7353061636797071,0.8881746530532837,0.5067410210860571,0.3761837275242493,0.6406890894175554,0.5157894688260388,26,1,NaN,NaN
23,transport,pour,1,0.8992470313463395,0.957857072353363,0.8029454212073289,0.6704440146614754,0.837893017558187,0.7981220607366264,35,1,NaN,NaN
24,transport,wipe,1,0.8844665256479528,0.9466844201087952,0.7792193571639332,0.6205569457864895,0.8207547169811321,0.7596153796380363,34,1,NaN,NaN
25,wipe,cut,1,0.5056788624530014,0.8371618390083313,0.4468784321898097,0.1734641210110929,0.4987928536938677,0.45112781456696255,48,1,NaN,NaN
26,wipe,grasp,1,0.510948482066265,0.8385961055755615,0.4310433552353079,0.2100318984527915,0.45847416706904875,0.41353382960455654,44,1,NaN,NaN
27,wipe,mix,1,0.49685692195198006,0.8383054733276367,0.40619149120490605,0.18557339138230228,0.5028971511347176,0.4428044230525184,48,1,NaN,NaN
28,wipe,pour,1,0.6866405271960279,0.9112972021102905,0.5964599202090552,0.45339529814883434,0.6743119266055047,0.6598639405865612,52,1,NaN,NaN
29,cut,grasp,2,0.5590654347549039,0.8769866824150085,0.43220915956432837,0.28672363384195426,0.4930727362691737,0.5491525374997989,43,1,0,NaN
30,cut,mix,2,0.7920019621243647,0.9274204969406128,0.590172300225269,0.5581067493368799,0.6370608609599209,0.7345678962500001,56,1,1,NaN
31,cut,pour,2,0.5993527762464296,0.8511160016059875,0.4402996824908738,0.3164417243528656,0.5051954477981198,0.4836601257881584,48,1,0,NaN
32,cut,transport,2,0.5728725465894714,0.8433817625045776,0.39560355777089257,0.3580251489935927,0.5039584364176151,0.46006389280650006,50,1,0,NaN
33,cut,wipe,2,0.602588999991689,0.8294280767440796,0.4327580170337424,0.19250129509417271,0.4141752953186525,0.4782608645845068,106,1,0,NaN
34,grasp,cut,2,0.7051128381619532,0.8710291981697083,0.5267625717198277,0.2783725214206518,0.4139705882352941,0.605714280734041,45,1,0,NaN
35,grasp,mix,2,0.7472533422459199,0.9140500426292419,0.5539806277210919,0.5107945068949797,0.6184631803628602,0.7030302980304868,29,1,1,NaN
36,grasp,pour,2,0.6810972205783287,0.8559285998344421,0.5513453565824339,0.32395091825988376,0.4929513415188722,0.5297297247941565,32,1,0,NaN
37,grasp,transport,2,0.7613314463755064,0.8911101222038269,0.589473306117362,0.4179186394671682,0.550314465408805,0.5485714235911837,31,1,0,NaN
38,grasp,wipe,2,0.7232388481334872,0.8808086514472961,0.5279428735335508,0.40291397679745705,0.3735325506937033,0.5308641925316263,24,1,0,NaN
39,mix,cut,2,0.5846924980125442,0.8516415357589722,0.5038471203544997,0.24083186223265596,0.5076157000585824,0.4664310904139145,47,1,0,NaN
40,mix,grasp,2,0.4293982978805357,0.805886447429657,0.2927048467464791,0.26505409624051673,0.4214997070884593,0.3804878008204641,31,1,0,NaN
41,mix,pour,2,0.5461642213305117,0.8263057470321655,0.43549050869974126,0.27966508114756927,0.48125366139425896,0.444444439458897,44,1,0,NaN
42,mix,transport,2,0.5088914053126935,0.8386881947517395,0.38475991144403415,0.2151407536405636,0.46104276508494435,0.3902438974419989,49,1,0,NaN
43,mix,wipe,2,0.5498001035086195,0.8345363140106201,0.424706097873763,0.23837821454108685,0.4847685998828354,0.40140844571042456,59,1,0,NaN
44,pour,cut,2,0.7423994634206476,0.8681048154830933,0.5339431743448572,0.3176519776071755,0.5196214862232118,0.4897959133694294,48,1,0,NaN
