,Action Name,run,chrF,CodeBERTScore,CodeBLEU,CrystalBLEU,Edit Distance,ROUGE-L,LoC,Compilation Success,Run Success,Simulation
0,cut,1,0.12242419631595186,0.7319052815437317,0.11500992679124322,2.1135117514192056e-05,0.09845422116527947,0.14423076697161613,10,1,NaN,NaN
1,cut,2,0.12242419631595186,0.7319052815437317,0.11500992679124322,2.1135117514192056e-05,0.09845422116527947,0.14423076697161613,10,1,NaN,NaN
2,cut,3,0.12242419631595186,0.7319052815437317,0.11500992679124322,2.1135117514192056e-05,0.09845422116527947,0.14423076697161613,10,1,NaN,NaN
3,cut,4,0.12242419631595186,0.7319052815437317,0.11500992679124322,2.1135117514192056e-05,0.09845422116527947,0.14423076697161613,10,1,NaN,NaN
4,cut,5,0.12242419631595186,0.7319052815437317,0.11500992679124322,2.1135117514192056e-05,0.09845422116527947,0.14423076697161613,10,1,NaN,NaN
5,pour,1,0.4477885486596201,0.8571622371673584,0.397608663273074,0.20140845211326222,0.4048076923076923,0.43434342968829714,26,1,NaN,NaN
6,pour,2,0.4477885486596201,0.8571622371673584,0.397608663273074,0.20140845211326222,0.4048076923076923,0.43434342968829714,26,1,NaN,NaN
7,pour,3,0.4477885486596201,0.8571622371673584,0.397608663273074,0.20140845211326222,0.4048076923076923,0.43434342968829714,26,1,NaN,NaN
8,pour,4,0.4477885486596201,0.8571622371673584,0.397608663273074,0.20140845211326222,0.4048076923076923,0.43434342968829714,26,1,NaN,NaN
9,pour,5,0.4477885486596201,0.8571622371673584,0.397608663273074,0.20140845211326222,0.4048076923076923,0.43434342968829714,26,1,NaN,NaN
10,wipe,1,0.33871250720419566,0.8260974884033203,0.27612202715958745,0.06883614663175092,0.29502655721873494,0.4897959143299668,21,1,NaN,NaN
11,wipe,2,0.33871250720419566,0.8260974884033203,0.27612202715958745,0.06883614663175092,0.29502655721873494,0.4897959143299668,21,1,NaN,NaN
12,wipe,3,0.33871250720419566,0.8260974884033203,0.27612202715958745,0.06883614663175092,0.29502655721873494,0.4897959143299668,21,1,NaN,NaN
13,wipe,4,0.33871250720419566,0.8260974884033203,0.27612202715958745,0.06883614663175092,0.29502655721873494,0.4897959143299668,21,1,NaN,NaN
14,wipe,5,0.33871250720419566,0.8260974884033203,0.27612202715958745,0.06883614663175092,0.29502655721873494,0.4897959143299668,21,1,NaN,NaN
