,Target Name,Reference Name,run,chrF,CodeBERTScore,CodeBLEU,CrystalBLEU,Edit Distance,ROUGE-L,LoC,Compilation Success,Run Success,Simulation
0,cut,grasp,1,0.8597371442417775,0.9100596308708191,0.8038152934059724,0.4175724029431536,0.5213675213675213,0.7029702921713559,45,1,NaN,NaN
1,cut,mix,1,0.8448432440724609,0.9203635454177856,0.7378177988622621,0.5441684822880025,0.6926898509581263,0.7619047569160999,69,1,NaN,NaN
2,cut,pour,1,0.6626514830629066,0.89875727891922,0.7643625523367812,0.3519500674099417,0.5314086294416244,0.625482620488663,44,1,NaN,NaN
3,cut,transport,1,0.752667000037611,0.8674508929252625,0.7892646517469992,0.26399303830693993,0.542090395480226,0.6129032208327915,44,1,NaN,NaN
4,cut,wipe,1,0.5901658075832052,0.8907822370529175,0.6669673533855803,0.2936790115219742,0.5383872525350073,0.5860805810860203,46,1,NaN,NaN
5,grasp,cut,1,0.357381773740866,0.8497868776321411,0.30217641022545316,0.13067226327964904,0.32627824019024976,0.4566929092897887,32,1,NaN,NaN
6,grasp,mix,1,0.36110902425541136,0.8244422674179077,0.29942876033083154,0.08415363451984288,0.3192567567567568,0.42253520710176556,21,1,NaN,NaN
7,grasp,pour,1,0.5197179451986884,0.9022297859191895,0.5716448155805098,0.31731252354302514,0.5256410256410257,0.5990783361294572,27,1,NaN,NaN
8,grasp,transport,1,0.5225035956399869,0.8565313220024109,0.5134409158007197,0.2075545876908661,0.4416262588586348,0.4590163887724328,21,1,NaN,NaN
9,grasp,wipe,1,0.44493079782755984,0.891621470451355,0.4756431158406095,0.1527462986268341,0.3870111057460164,0.5800865753302975,27,1,NaN,NaN
10,mix,cut,1,0.6507322289395503,0.8950783014297485,0.5368352961370416,0.4149451008873373,0.5136741973840666,0.6312499950861329,51,1,NaN,NaN
11,mix,grasp,1,0.7291894977085079,0.9098085165023804,0.5790054981056951,0.40328065200853513,0.5761148129164531,0.6373626323922232,29,1,NaN,NaN
12,mix,pour,1,0.6158219088669044,0.9136930108070374,0.739035322729023,0.3883790143188576,0.6426282051282051,0.6425702761245787,37,1,NaN,NaN
13,mix,transport,1,0.6413978768877523,0.8565165400505066,0.7022607277299233,0.22811203216279444,0.4770607982096233,0.5544554406406236,31,1,NaN,NaN
14,mix,wipe,1,0.6734418433403428,0.921881377696991,0.7349160048974885,0.41387883541750836,0.6965234186383389,0.6466165363714739,51,1,NaN,NaN
15,pour,cut,1,0.6852758363711314,0.8890780806541443,0.5869521226271248,0.45357966015650114,0.4820451843043996,0.6112759594192079,64,1,NaN,NaN
16,pour,grasp,1,0.8652502047889442,0.9134357571601868,0.6425303531126356,0.3932966488402526,0.5375260597637248,0.609625663500815,35,1,NaN,NaN
17,pour,mix,1,0.6839822460660939,0.8798984885215759,0.514064227318735,0.3616198778361512,0.43440315315315314,0.592057756767324,48,1,NaN,NaN
18,pour,transport,1,0.836472467313723,0.9209848642349243,0.8180148473948265,0.42251888229437684,0.6419834710743801,0.6355932153422149,41,1,NaN,NaN
19,pour,wipe,1,0.6179496750076553,0.9050228595733643,0.6649806098691948,0.30032795622563885,0.5272815065185901,0.5767790212330094,43,1,NaN,NaN
20,transport,cut,1,0.45799230301368904,0.8379049897193909,0.38623611529338875,0.2305230692846688,0.3583828775267539,0.4963503604792478,31,1,NaN,NaN
21,transport,grasp,1,0.5930394647886342,0.8609200716018677,0.515782401756736,0.36329174770072736,0.5002562788313685,0.6081081031994158,18,1,NaN,NaN
22,transport,mix,1,0.4209166211105871,0.8253909945487976,0.33406811219308913,0.1397395757956719,0.3465653153153153,0.4495412801111018,22,1,NaN,NaN
23,transport,pour,1,0.5576527163846517,0.90913325548172,0.6247025566716156,0.3706823013148587,0.5512820512820513,0.6574074025312929,29,1,NaN,NaN
24,transport,wipe,1,0.5414495088639203,0.9106780886650085,0.5558240706974318,0.2655535123675313,0.4869628198937711,0.6083333284864585,34,1,NaN,NaN
25,wipe,cut,1,0.556959829746483,0.8746975064277649,0.485994836821262,0.3175878367194945,0.5041617122473245,0.5239616564643919,54,1,NaN,NaN
