,Unnamed: 0,Generated,Reference,WuP,GloVe-Similarity,BLEU,ROUGE-1,ROUGE-2,ROUGE-L,CodeBERTScore,chrF,SensorimotorDistance
54,,Slice,Pour,0.2222222222222222,0.5407348275184631,0.9014861825538917,0.811391838973442,0.7679811956009697,0.811391838973442,0.9625385761260986,0.9085478689494249,0.0772310812987127
55,,Wipe,Pour,0.25,0.509205162525177,0.9014861825538917,0.8096868313785034,0.7679811956009697,0.8096868313785034,0.9640054106712341,0.9047718829799765,0.0970422225532095
56,,Close,Slice,0.2222222222222222,0.3808492720127105,0.370339421687663,0.6619308964260079,0.5951807186473766,0.6619308964260079,0.9343780994415283,0.5089948667772853,0.0887489492764253
57,,Halve,Slice,0.1818181818181818,0.3771482110023498,0.9799188555219676,0.9410526265789475,0.9310810760810814,0.9410526265789475,0.9952914237976073,0.9806992326137672,0.0934805650414641
58,,Hold,Slice,0.2857142857142857,0.3697307407855987,0.28033572270733625,0.6048441123005648,0.5101827326512287,0.6048441123005648,0.9293535470962524,0.43904538372025464,0.0513302142817702
59,,Open,Slice,0.2857142857142857,0.3194121122360229,0.47683756138871186,0.6504906287847583,0.601073580939986,0.6504906287847583,0.9389004588127137,0.5767465304920026,0.0770675081437801
60,,Pick-Up,Slice,0.2222222222222222,0.44728294014930714,0.37426225086838905,0.6619308964260079,0.5929445740619735,0.6619308964260079,0.9334670901298523,0.5092958094388317,0.0743805998594153
61,,Place-Down,Slice,0.2222222222222222,0.4426504373550415,0.37541741423427966,0.5520205844356055,0.43515511854342287,0.5420750749425848,0.9318732380867004,0.5012320793078351,0.135771583124557
62,,Pour,Slice,0.2222222222222222,0.5407348275184631,0.6408849897203475,0.4758636635870257,0.3649632984419384,0.4758636635870257,0.9390345096588135,0.6750761770059663,0.0772310812987127
63,,Wipe,Slice,0.2222222222222222,0.5417711138725281,0.47959169305661764,0.6017064472822071,0.5352461129582882,0.6017064472822071,0.9403671503067017,0.5668859171360621,0.0503783542992758
64,,Close,Wipe,0.25,0.3031244874000549,0.8094370822818855,0.6719160055053597,0.518362568111761,0.6589078754240587,0.9572337865829468,0.81328877608149,0.1558799708666
65,,Halve,Wipe,0.2,0.5097622871398926,0.870641483914287,0.687499995,0.5473684160526316,0.687499995,0.9791628241539001,0.8629289582088706,0.118278224124008
66,,Hold,Wipe,0.3333333333333333,0.43972694873809803,0.17416976527468517,0.26217532143008937,0.1393802236734489,0.22061687987164785,0.8736098051071167,0.22988000170648007,0.0158176034997597
67,,Open,Wipe,0.3333333333333333,0.3229246437549591,0.49195337151080426,0.4660088332757021,0.3285970238481649,0.4392516036780895,0.9208606004714965,0.5315394217921814,0.139307387341262
68,,Pick-Up,Wipe,0.25,0.2969381213188171,0.8202311194003855,0.6759278134775292,0.5357863680579189,0.6759278134775292,0.9641977429389954,0.8323186399155869,0.0946885101065148
69,,Place-Down,Wipe,0.25,0.3212550282478332,0.27099072705172045,0.41276881277084054,0.27789473257679914,0.41276881277084054,0.9253682732582093,0.4493713992006523,0.220155971966159
70,,Pour,Wipe,0.25,0.509205162525177,0.5869254551977432,0.5359630076020021,0.3726668025900059,0.5260994048337428,0.9460367679595947,0.698239252064799,0.0970422225532095
71,,Slice,Wipe,0.2222222222222222,0.5417711138725281,0.17779400871264267,0.22742386577237772,0.13874119478461583,0.21822846347352715,0.8878425359725952,0.2580658719905425,0.0503783542992758
