,Unnamed: 0,Generated,Reference,WuP,GloVe-Similarity,BLEU,ROUGE-1,ROUGE-2,ROUGE-L,CodeBERTScore,chrF,SensorimotorDistance
0,,Halve,Close,0.2,0.026859529316425303,0.8058186800561058,0.7454639303070882,0.6155255495225356,0.7368152816584397,0.9548838019371033,0.7750904171524984,0.0855097373008226
1,,Hold,Close,0.3333333333333333,0.7839381098747253,0.06049199471499593,0.35040351820188886,0.2556686118636518,0.35040351820188886,0.9061787247657775,0.24499240511587908,0.143589044210939
2,,Open,Close,0.3333333333333333,0.720828115940094,0.9861874720073877,0.9677419304838712,0.9426229458196722,0.9677419304838712,0.9799503087997437,0.9862722453087749,0.045264758045214
3,,Pick-Up,Close,0.25,0.5153879523277283,0.7710669018974385,0.7244092410758576,0.6020061332361216,0.7244092410758576,0.961051344871521,0.7545326691600442,0.0702866678284649
4,,Place-Down,Close,0.25,0.7576097846031189,0.36331327728324225,0.47270551184557597,0.32942812320789344,0.46102667972878786,0.9445201873779296,0.4828814750696557,0.0519029166068075
5,,Pour,Close,0.25,0.2032543271780014,0.6295046337126434,0.6993119459474313,0.5713346601325416,0.6993119459474313,0.961734127998352,0.9117955725657458,0.0815941431836668
6,,Slice,Close,0.2222222222222222,0.3808492720127105,0.732708962457943,0.6915471247410465,0.5577791067687896,0.6915471247410465,0.9518925666809082,0.746004444523994,0.0887489492764253
7,,Wipe,Close,0.25,0.3031244874000549,0.9034985150011898,0.7974425988942752,0.6737704868032788,0.7974425988942752,0.9807753920555115,0.8593674479438629,0.1558799708666
8,,Close,Halve,0.2,0.026859529316425303,0.5587015322871843,0.6488311643615053,0.5976906527141305,0.6488311643615053,0.9387597799301147,0.6247700023646326,0.0855097373008226
9,,Hold,Halve,0.25,0.1863423734903335,0.29509579575621653,0.5544167006474212,0.48153006422169875,0.5544167006474212,0.9305528402328491,0.441946234842745,0.0978263036860699
10,,Open,Halve,0.25,0.1374186724424362,0.8185150400861321,0.7178383409008808,0.675871075171092,0.7178383409008808,0.9630928397178649,0.8298539664229182,0.0827258509852445
11,,Pick-Up,Halve,0.2,0.1682203710079193,0.5359159434368965,0.6318054354585142,0.5715949366967483,0.6318054354585142,0.9366446375846863,0.6051873798213602,0.0710081231639225
12,,Place-Down,Halve,0.2,0.11310732364654538,0.5858983722905974,0.5268203839733999,0.4703050382767338,0.5268203839733999,0.9336594820022583,0.6228842150322315,0.114183228214588
13,,Pour,Halve,0.2,0.3157775104045868,0.7157794395861732,0.5200390320922674,0.411327953169642,0.5200390320922674,0.9429585933685303,0.778931879236727,0.0776414292502186
14,,Slice,Halve,0.1818181818181818,0.3771482110023498,0.7702706973377426,0.8028571382348086,0.7498224807448785,0.8028571382348086,0.972518265247345,0.7994174501899229,0.0934805650414641
15,,Wipe,Halve,0.2,0.5097622871398926,0.6270627746409276,0.5129670283743355,0.4496966711195155,0.5129670283743355,0.9389465332031248,0.6535186862206568,0.118278224124008
16,,Close,Hold,0.3333333333333333,0.7839381098747253,0.8733024458408953,0.8349443049373427,0.7625012075866064,0.8077481790293526,0.9577890753746032,0.8785893365767505,0.143589044210939
17,,Halve,Hold,0.25,0.1863423734903335,0.7545395581434653,0.6941420396601649,0.5870365449889093,0.6711540499868007,0.955469834804535,0.7852392891223838,0.0978263036860699
18,,Open,Hold,0.5,0.739703357219696,0.8776181977045292,0.8480479008897908,0.7818971899642071,0.8202197097222165,0.9627096056938171,0.8852172510678369,0.103886621549432
19,,Pick-Up,Hold,0.3333333333333333,0.6284888386726379,0.786399011763408,0.8590964544248697,0.8133333288363473,0.8522588475872628,0.9743726968765258,0.8240522368203799,0.0669021654064496
20,,Place-Down,Hold,0.3333333333333333,0.7480592727661133,0.6959655012137402,0.6744876148065163,0.5463810811440076,0.6391294215763665,0.9477872610092163,0.775465434633922,0.234937314389433
21,,Pour,Hold,0.3333333333333333,0.3653004169464111,0.5879545303367509,0.4258478867646137,0.29147834591740457,0.40515774598352633,0.9373052954673767,0.6695115755042058,0.11875767443836
22,,Slice,Hold,0.2857142857142857,0.3697307407855987,0.8435604485924044,0.7672663618298036,0.6938623103773476,0.7396801549332517,0.9597134947776794,0.8492557122687485,0.0513302142817702
23,,Wipe,Hold,0.3333333333333333,0.43972694873809803,0.7736688791251358,0.7432989640827932,0.6579613355892006,0.7432989640827932,0.9640534400939942,0.8883307139167096,0.0158176034997597
24,,Close,Open,0.3333333333333333,0.720828115940094,0.9778177398723397,0.941935478870968,0.9032786835245903,0.941935478870968,0.9943931221961975,0.9797777641064241,0.045264758045214
25,,Halve,Open,0.25,0.1374186724424362,0.8685837741045791,0.7819819769846843,0.6559920809269265,0.7733333283360357,0.960188627243042,0.8151531265760144,0.0827258509852445
26,,Hold,Open,0.5,0.739703357219696,0.07885485633220637,0.32699976195039737,0.2325450615331583,0.32699976195039737,0.9057502508163452,0.2493246077550893,0.103886621549432
27,,Pick-Up,Open,0.3333333333333333,0.494068443775177,0.7148369460276136,0.7437856660093372,0.6241712714543887,0.7437856660093372,0.9594945669174194,0.7112064414952733,0.0311757950604205
28,,Place-Down,Open,0.3333333333333333,0.8066946268081665,0.5217476453018165,0.5196433659222939,0.3495200924539909,0.49859073434334655,0.9511366128921509,0.5929087632184981,0.123578364246354
29,,Pour,Open,0.3333333333333333,0.2541566789150238,0.7964733245041193,0.8335051496447822,0.7184615334804734,0.8335051496447822,0.9655211210250855,0.9518435673943273,0.0784764079700592
30,,Slice,Open,0.2857142857142857,0.3194121122360229,0.7577911547444602,0.7202015152691453,0.6042115575601329,0.7202015152691453,0.9524793028831482,0.7440557555140089,0.0770675081437801
31,,Wipe,Open,0.3333333333333333,0.3229246437549591,0.8870538292449446,0.785320238104727,0.6562841480055323,0.785320238104727,0.9690361022949219,0.8428286354927128,0.139307387341262
32,,Close,Pick-Up,0.25,0.5153879523277283,0.8168817373080908,0.8345063488741058,0.7674697027838867,0.8345063488741058,0.9675316572189331,0.8738935435744282,0.0702866678284649
33,,Halve,Pick-Up,0.2,0.1682203710079193,0.7819222852712406,0.7292582367865801,0.5965271036365137,0.7204670279953713,0.9491217970848084,0.7702528415660994,0.0710081231639225
34,,Hold,Pick-Up,0.3333333333333333,0.6284888386726379,0.12066307490895853,0.3363861905411306,0.23235791956250385,0.3363861905411306,0.9312479019165039,0.3052760369426959,0.0669021654064496
35,,Open,Pick-Up,0.3333333333333333,0.494068443775177,0.7576068202061113,0.8876698166988053,0.867689048472819,0.8876698166988053,0.9679024577140808,0.8424033536846014,0.0311757950604205
36,,Place-Down,Pick-Up,0.25,0.6661379933357239,0.4809097132742318,0.4968782787731455,0.35354828008346667,0.49154494543981225,0.9440139532089233,0.5676220444804543,0.169426303267544
37,,Pour,Pick-Up,0.25,0.1667963415384292,0.5294968754691929,0.46260988513970913,0.3100591539703853,0.45010988513970906,0.9388229846954346,0.7429936176369859,0.0699600588276674
38,,Slice,Pick-Up,0.2222222222222222,0.44728294014930714,0.5678534178819542,0.6192462107268037,0.4534653416450999,0.6096076565099362,0.9549883365631106,0.6165736402364768,0.0743805998594153
39,,Wipe,Pick-Up,0.25,0.2969381213188171,0.3096882567847107,0.3829883562593692,0.2262131683470264,0.3829883562593692,0.909411895275116,0.42347278838047026,0.0946885101065148
40,,Close,Place-Down,0.25,0.7576097846031189,0.23789230896681288,0.393709992692661,0.2457694787797549,0.393709992692661,0.913777768611908,0.3930541335126072,0.0519029166068075
41,,Halve,Place-Down,0.2,0.11310732364654538,0.6356905744984062,0.6617210223755815,0.5803383959802682,0.6497449744713898,0.9417816877365113,0.7096412993627691,0.114183228214588
42,,Hold,Place-Down,0.3333333333333333,0.7480592727661133,0.09258043516180872,0.37861923570823747,0.3178304475477316,0.37861923570823747,0.8924119949340821,0.2595673215845852,0.234937314389433
43,,Open,Place-Down,0.3333333333333333,0.8066946268081665,0.22017139993023652,0.3178711240669544,0.19253341667245907,0.26920517366853025,0.8803229093551636,0.3896871435654212,0.123578364246354
44,,Pick-Up,Place-Down,0.25,0.6661379933357239,0.31638165232117244,0.48360688552223585,0.3385177335169544,0.48360688552223585,0.9402898073196411,0.47855698632986055,0.169426303267544
45,,Pour,Place-Down,0.25,0.2918168306350708,0.2176111005898115,0.32757705263119674,0.20132116625586866,0.2927944439355446,0.8932248830795289,0.37316670279722086,0.113289610372751
46,,Slice,Place-Down,0.2222222222222222,0.4426504373550415,0.47958024635772284,0.4323284478834674,0.27806600617390786,0.41257536146371426,0.9300666689872742,0.5845640077327563,0.135771583124557
47,,Wipe,Place-Down,0.25,0.3212550282478332,0.3493391467552715,0.3360135091377415,0.23615468027997064,0.30848232410655646,0.8916716814041138,0.49980011933571067,0.220155971966159
48,,Close,Pour,0.25,0.2032543271780014,0.7969346033544105,0.8195886676016514,0.7517166654545155,0.8195886676016514,0.9636441588401794,0.8322936496090451,0.0815941431836668
49,,Halve,Pour,0.2,0.3157775104045868,0.9105896473247264,0.8151347374914529,0.7664259723573712,0.7832198438744314,0.9647518634796143,0.91627320194158,0.0776414292502186
50,,Hold,Pour,0.3333333333333333,0.3653004169464111,0.6134748141970089,0.7280131030007873,0.6461585010517331,0.7280131030007873,0.9543618202209473,0.6854713374721911,0.11875767443836
51,,Open,Pour,0.3333333333333333,0.2541566789150238,0.8028699139677613,0.8374769747569468,0.7684908590029027,0.8374769747569468,0.96274493932724,0.8378517255953376,0.0784764079700592
52,,Pick-Up,Pour,0.25,0.1667963415384292,0.7981070047067412,0.8221858128204909,0.7694703403479635,0.8221858128204909,0.96832834482193,0.843642811542247,0.0699600588276674
53,,Place-Down,Pour,0.25,0.2918168306350708,0.756419399479358,0.7272206909827719,0.5966044092922388,0.718429482191563,0.9587710738182068,0.8009634927384,0.113289610372751
