,Unnamed: 0,Generated,Reference,WuP,GloVe-Similarity,BLEU,ROUGE-1,ROUGE-2,ROUGE-L,CodeBERTScore,chrF,SensorimotorDistance
21,,Pour,Hold,0.3333333333333333,0.3653004169464111,0.5134114736120651,0.35415461236107654,0.20331420023778693,0.3140329406604575,0.9303152084350585,0.5798569079463727,0.11875767443836
22,,Slice,Hold,0.2857142857142857,0.3697307407855987,0.8199363297329627,0.747126431798124,0.6616541303564363,0.7126436731774343,0.9522936344146729,0.8272869998136907,0.0513302142817702
23,,Wipe,Hold,0.3333333333333333,0.43972694873809803,0.7721040221935416,0.8041237063534915,0.7320261388216072,0.8041237063534915,0.9612232804298401,0.9194012143994954,0.0158176034997597
24,,Close,Open,0.3333333333333333,0.720828115940094,0.9757348728234806,0.9354838659677419,0.8934426179508197,0.9354838659677419,0.9838960766792295,0.9778603906884076,0.045264758045214
25,,Halve,Open,0.25,0.1374186724424362,0.8725877163116852,0.8021977972002172,0.6738589161626006,0.7934065884090086,0.9527532577514648,0.8347484823287138,0.0827258509852445
26,,Hold,Open,0.5,0.739703357219696,0.015171488187131602,0.3050847424231542,0.1999999969635555,0.3050847424231542,0.9009445309638975,0.1972973620806554,0.103886621549432
27,,Pick-Up,Open,0.3333333333333333,0.494068443775177,0.6416690595475412,0.7169811272196511,0.612440186527781,0.7169811272196511,0.9487044215202332,0.6555200722130424,0.0311757950604205
28,,Place-Down,Open,0.3333333333333333,0.8066946268081665,0.45306311813759237,0.4826378504621223,0.2986207111309634,0.4568301180260768,0.9419550776481629,0.5378844175334729,0.123578364246354
29,,Pour,Open,0.3333333333333333,0.2541566789150238,0.7828635594533515,0.812499995004883,0.6692307642497042,0.812499995004883,0.9570434093475342,0.9454225659011539,0.0784764079700592
30,,Slice,Open,0.2857142857142857,0.3194121122360229,0.8510713309021188,0.7841518063861679,0.6661683663618516,0.7820241468116998,0.9519984722137451,0.8320408419327526,0.0770675081437801
31,,Wipe,Open,0.3333333333333333,0.3229246437549591,0.8294585866806727,0.7878350878419652,0.6480620105156711,0.7878350878419652,0.9576110601425171,0.8534734875924801,0.139307387341262
32,,Close,Pick-Up,0.25,0.5153879523277283,0.9757348728234806,0.9354838659677419,0.8934426179508197,0.9354838659677419,0.9934811592102053,0.9778603906884076,0.0702866678284649
33,,Halve,Pick-Up,0.2,0.1682203710079193,0.8725877163116852,0.8021977972002172,0.6721991651252562,0.7912087862112064,0.9527454972267153,0.8378779396786076,0.0710081231639225
34,,Hold,Pick-Up,0.3333333333333333,0.6284888386726379,0.09428297898056692,0.33134695505339556,0.23095298975482265,0.33134695505339556,0.93151695728302,0.28742957057927954,0.0669021654064496
35,,Open,Pick-Up,0.3333333333333333,0.494068443775177,0.7247299892588746,0.8751310887990762,0.8502780818276708,0.8751310887990762,0.9603405237197876,0.8203627795876678,0.0311757950604205
36,,Place-Down,Pick-Up,0.25,0.6661379933357239,0.44093951676134485,0.48004427885298273,0.3114158746311642,0.47755980680329335,0.9429699540138244,0.5245340967568276,0.169426303267544
37,,Pour,Pick-Up,0.25,0.1667963415384292,0.5503612773872442,0.4688142644081175,0.3160888492889277,0.4688142644081175,0.9447157382965088,0.7818430369986008,0.0699600588276674
38,,Slice,Pick-Up,0.2222222222222222,0.44728294014930714,0.6446469982828176,0.6621292136878387,0.480869560275213,0.6502219354520886,0.9579995632171631,0.6647090398221156,0.0743805998594153
39,,Wipe,Pick-Up,0.25,0.2969381213188171,0.2845276182302657,0.3673469341274469,0.2072538813594996,0.3673469341274469,0.9024578332900999,0.4069428641058613,0.0946885101065148
40,,Close,Place-Down,0.25,0.7576097846031189,0.04132984684892745,0.22365400326142928,0.09351655092252127,0.1829830952221002,0.8655169606208801,0.23040505092441235,0.0519029166068075
41,,Halve,Place-Down,0.2,0.11310732364654538,0.6071765824933579,0.6734924429634079,0.5914440192017418,0.6694108103103467,0.9388705968856812,0.690200039588259,0.114183228214588
42,,Hold,Place-Down,0.3333333333333333,0.7480592727661133,0.0093601667535855,0.3015872988095238,0.2380952354790249,0.3015872988095238,0.8804634213447571,0.1851641900520911,0.234937314389433
43,,Open,Place-Down,0.3333333333333333,0.8066946268081665,0.04383035523273086,0.19522387713371575,0.07959110563509242,0.16277185154736182,0.8532499551773072,0.23764721991197985,0.123578364246354
44,,Pick-Up,Place-Down,0.25,0.6661379933357239,0.1517197105673439,0.3687943224385092,0.1925133653292917,0.3687943224385092,0.9265211820602415,0.3532464549128524,0.169426303267544
45,,Pour,Place-Down,0.25,0.2918168306350708,0.060367948194224044,0.2120082778457107,0.0848371634697854,0.18045548281465487,0.8740693926811218,0.22839429468888328,0.113289610372751
46,,Slice,Place-Down,0.2222222222222222,0.4426504373550415,0.2930520747911768,0.4618333860596337,0.3868954252707492,0.4534417776680254,0.906798255443573,0.4526167396870521,0.135771583124557
47,,Wipe,Place-Down,0.25,0.3212550282478332,0.2007686304464546,0.19255067163237471,0.07950469053159831,0.1521452662269694,0.8703341603279113,0.37772574501917766,0.220155971966159
48,,Close,Pour,0.25,0.2032543271780014,0.7624902316232277,0.817679553029517,0.7272727223079369,0.7624309342449865,0.9515928626060486,0.8058263752877923,0.0815941431836668
49,,Halve,Pour,0.2,0.3157775104045868,0.8923827177830572,0.808510633300136,0.7483443658644358,0.7553191439384337,0.9522031545639038,0.8974001132926853,0.0776414292502186
50,,Hold,Pour,0.3333333333333333,0.3653004169464111,0.596381207109085,0.7337278057434964,0.6217228415716312,0.7337278057434964,0.9502822756767271,0.6705945325555828,0.11875767443836
51,,Open,Pour,0.3333333333333333,0.2541566789150238,0.7624902316232277,0.817679553029517,0.7412587362939509,0.817679553029517,0.9568248510360717,0.8059378098337632,0.0784764079700592
52,,Pick-Up,Pour,0.25,0.1667963415384292,0.6645743185930704,0.7954898215574808,0.7390514198378064,0.7954898215574808,0.9608934879302978,0.7454652603184179,0.0699600588276674
53,,Place-Down,Pour,0.25,0.2918168306350708,0.6689428841124201,0.6738799612182562,0.5206533525977852,0.662721888521722,0.9495840311050415,0.7308347860788827,0.113289610372751
54,,Slice,Pour,0.2222222222222222,0.5407348275184631,0.8933590863498356,0.8035095365680501,0.757323466233605,0.8035095365680501,0.956977117061615,0.8988933751852161,0.0772310812987127
55,,Wipe,Pour,0.25,0.509205162525177,0.8923827177830572,0.8067994996737072,0.7615893989770186,0.8067994996737072,0.9573289036750794,0.8953690785902049,0.0970422225532095
56,,Close,Slice,0.2222222222222222,0.3808492720127105,0.5709960406298045,0.7134502874593893,0.64638782777834,0.7134502874593893,0.9462175965309145,0.6672975292999666,0.0887489492764253
57,,Halve,Slice,0.1818181818181818,0.3771482110023498,0.9971550403323202,0.9894736792105265,0.9864864814864868,0.9894736792105265,0.9974266886711118,0.9972427475162524,0.0934805650414641
58,,Hold,Slice,0.2857142857142857,0.3697307407855987,0.2995408125771561,0.6542918482540097,0.560888575514813,0.6516944456566071,0.9376173853874207,0.48550259017990305,0.0513302142817702
59,,Open,Slice,0.2857142857142857,0.3194121122360229,0.7124128489788597,0.71910111861823,0.6859205726408529,0.71910111861823,0.9615573883056638,0.7609278715901212,0.0770675081437801
60,,Pick-Up,Slice,0.2222222222222222,0.44728294014930714,0.4677913442084998,0.7484662528059016,0.69599999516928,0.7484662528059016,0.9439199924468994,0.6101140994059281,0.0743805998594153
61,,Place-Down,Slice,0.2222222222222222,0.4426504373550415,0.41135998447445543,0.6217760976248224,0.500579272156095,0.6091497654227911,0.9420089244842529,0.5702957317337016,0.135771583124557
62,,Pour,Slice,0.2222222222222222,0.5407348275184631,0.7096380453895825,0.5046418958432287,0.3942242920400301,0.5046418958432287,0.9426372885704041,0.724776929686968,0.0772310812987127
63,,Wipe,Slice,0.2222222222222222,0.5417711138725281,0.6147828179348921,0.6873228218958913,0.6389986479714205,0.6873228218958913,0.949861717224121,0.681746311461145,0.0503783542992758
64,,Close,Wipe,0.25,0.3031244874000549,0.8215174703225113,0.6708333283399434,0.5361403458895386,0.6708333283399434,0.959272027015686,0.815366050350228,0.1558799708666
65,,Halve,Wipe,0.2,0.5097622871398926,0.870641483914287,0.687499995,0.5473684160526316,0.687499995,0.9778506755828855,0.8619412823802651,0.118278224124008
66,,Hold,Wipe,0.3333333333333333,0.43972694873809803,0.34507494251749965,0.36850648982256706,0.24313353408203975,0.3373376586537359,0.8974816799163818,0.3842075713399056,0.0158176034997597
67,,Open,Wipe,0.3333333333333333,0.3229246437549591,0.31307244442685145,0.5040389706122104,0.3016851954794184,0.4881973864537946,0.9286592245101929,0.46181726391352573,0.139307387341262
68,,Pick-Up,Wipe,0.25,0.2969381213188171,0.8030503441434893,0.6536585315936282,0.5155555505709877,0.6536585315936282,0.9498212933540344,0.8035453503680721,0.0946885101065148
69,,Place-Down,Wipe,0.25,0.3212550282478332,0.1218760627196376,0.3440860172135507,0.210526311707841,0.3440860172135507,0.9114351272583008,0.3438167873729354,0.220155971966159
70,,Pour,Wipe,0.25,0.509205162525177,0.7050778230664173,0.6102090373117915,0.46634938691181,0.6069032521878246,0.9480483770370484,0.8111935100065917,0.0970422225532095
71,,Slice,Wipe,0.2222222222222222,0.5417711138725281,0.0002944609720484,0.1038961010895598,0.0373831755786532,0.1038961010895598,0.8526862859725952,0.0893405537366673,0.0503783542992758
