,Unnamed: 0,Generated,Reference,WuP,GloVe-Similarity,BLEU,ROUGE-1,ROUGE-2,ROUGE-L,CodeBERTScore,chrF,SensorimotorDistance
0,,Halve,Close,0.2,0.026859529316425303,0.8594955539454142,0.8064516079032258,0.6885245851639346,0.8064516079032258,0.9538000822067259,0.8642741108240543,0.0855097373008226
1,,Hold,Close,0.3333333333333333,0.7839381098747253,0.10593667030711011,0.3408207588936838,0.19797505542792837,0.3096324859055229,0.8985352635383606,0.33246673461168375,0.143589044210939
2,,Open,Close,0.3333333333333333,0.720828115940094,0.671220064411709,0.8009523073092764,0.7527564381577528,0.8009523073092764,0.9518185496330261,0.777622712354159,0.045264758045214
3,,Pick-Up,Close,0.25,0.5153879523277283,0.7379874920076877,0.7065868214120263,0.5844748809099061,0.7065868214120263,0.9522169232368467,0.72778990026107,0.0702866678284649
4,,Place-Down,Close,0.25,0.7576097846031189,0.3946090569388808,0.435074785820648,0.26153845682468957,0.4085098869304432,0.9413375139236451,0.4950067049970849,0.0519029166068075
5,,Pour,Close,0.25,0.2032543271780014,0.7493541191724107,0.7999999950106509,0.6415094289936634,0.7794871744978304,0.9581091403961182,0.9389513726369932,0.0815941431836668
6,,Slice,Close,0.2222222222222222,0.3808492720127105,0.9039672232027451,0.7999999950001462,0.6721311425409836,0.7999999950001462,0.9561603665351868,0.8589986871350244,0.0887489492764253
7,,Wipe,Close,0.25,0.3031244874000549,0.8452288132498204,0.7869210611073246,0.6474041975425183,0.7784665916002236,0.9652543544769288,0.8530701311816932,0.1558799708666
8,,Close,Halve,0.2,0.026859529316425303,0.7996854476667724,0.7389610339748804,0.6973479973296024,0.7389610339748804,0.9552026391029356,0.8218294267549968,0.0855097373008226
9,,Hold,Halve,0.25,0.1863423734903335,0.3998238143127504,0.6245993175995135,0.5719225023263343,0.6245993175995135,0.941528034210205,0.5458073549489408,0.0978263036860699
10,,Open,Halve,0.25,0.1374186724424362,0.8667145520426548,0.7363636313673555,0.6909090859120294,0.7363636313673555,0.9557874798774721,0.8616260026356695,0.0827258509852445
11,,Pick-Up,Halve,0.2,0.1682203710079193,0.520283792403813,0.679360069839673,0.6379772970062045,0.679360069839673,0.9450384140014648,0.6316897016054394,0.0710081231639225
12,,Place-Down,Halve,0.2,0.11310732364654538,0.7323716803486724,0.6116504804840229,0.5632911342647413,0.6116504804840229,0.9490187764167786,0.759628925104812,0.114183228214588
13,,Pour,Halve,0.2,0.3157775104045868,0.7190216205661604,0.534482753624034,0.4249291734792832,0.534482753624034,0.9408812880516052,0.7901591156216417,0.0776414292502186
14,,Slice,Halve,0.1818181818181818,0.3771482110023498,0.9361279049754485,0.8571428521432558,0.8236686340532545,0.8571428521432558,0.9858500838279725,0.93601471123698,0.0934805650414641
15,,Wipe,Halve,0.2,0.5097622871398926,0.7819366543858782,0.5769230719605215,0.5236593010156337,0.5769230719605215,0.9473660588264463,0.7772891154310537,0.118278224124008
16,,Close,Hold,0.3333333333333333,0.7839381098747253,0.3490860317238469,0.5606558912294701,0.37534448582917956,0.5606558912294701,0.9443618535995484,0.544903725815586,0.143589044210939
17,,Halve,Hold,0.25,0.1863423734903335,0.8101448496957635,0.698305079753583,0.5867502585645923,0.6644067746688374,0.9500495076179505,0.8118893649144422,0.0978263036860699
18,,Open,Hold,0.5,0.739703357219696,0.5775784960245895,0.6982380904748664,0.5940034000951278,0.6845238047605807,0.9494985580444336,0.6926143622589198,0.103886621549432
19,,Pick-Up,Hold,0.3333333333333333,0.6284888386726379,0.9808005446465401,0.9670329620335709,0.9499999950002552,0.9670329620335709,0.9891449809074402,0.9852361228858595,0.0669021654064496
20,,Place-Down,Hold,0.3333333333333333,0.7480592727661133,0.7041527071109117,0.6699657612272892,0.5270390718855599,0.6255363811642448,0.9492832303047181,0.7547146412469423,0.234937314389433
