,Unnamed: 0,Generated,Reference,WuP,GloVe-Similarity,BLEU,ROUGE-1,ROUGE-2,ROUGE-L,CodeBERTScore,chrF
0,,Halve,Close-Container,0.2,0.026859529316425303,0.8594955539454142,0.8064516079032258,0.6885245851639346,0.8064516079032258,0.9572662711143494,0.8642741108240543
1,,Hold,Close-Container,0.3333333333333333,0.7839381098747253,0.7120262571347908,0.7073879854286156,0.5909613394947094,0.7073879854286156,0.952385628223419,0.7032731623563999
2,,Open-Container,Close-Container,0.3333333333333333,0.720828115940094,0.9861874720073877,0.9677419304838712,0.9426229458196722,0.9677419304838712,0.9875231385231018,0.9862722453087749
3,,Pick-Up,Close-Container,0.25,0.5153879523277283,0.9029063118896913,0.7973912993481501,0.672706861646448,0.7973912993481501,0.9559147000312805,0.8599548346911853
4,,Place-Down,Close-Container,0.25,0.7576097846031189,0.7288003461689889,0.7208121777567059,0.5811320705030972,0.7208121777567059,0.9618819952011108,0.8497517585658393
5,,Pour,Close-Container,0.25,0.2032543271780014,0.6618449271097706,0.7202902444735634,0.5812461452842562,0.7202902444735634,0.9599319696426392,0.9112857669274976
6,,Slice,Close-Container,0.2222222222222222,0.3808492720127105,0.8594955539454142,0.8064516079032258,0.6885245851639346,0.8064516079032258,0.9579421281814577,0.8641906808783915
7,,Wipe,Close-Container,0.25,0.3031244874000549,0.9112986672016798,0.8064516079032258,0.6885245851639346,0.8064516079032258,0.9557784199714658,0.8687476748757949
8,,Close-Container,Halve,0.2,0.026859529316425303,0.0083746411745154,0.3571428540295919,0.2358974335863248,0.3571428540295919,0.912427544593811,0.1786200180405981
9,,Hold,Halve,0.25,0.1863423734903335,5.356840758150736e-05,0.2575757551113407,0.1497326185810289,0.2575757551113407,0.8886452913284302,0.1000384577006854
10,,Open-Container,Halve,0.25,0.1374186724424362,0.0084273222615799,0.3571428540295919,0.2358974335863248,0.3571428540295919,0.912408173084259,0.1799495830841503
11,,Pick-Up,Halve,0.2,0.1682203710079193,5.356840758150736e-05,0.2575757551113407,0.1497326185810289,0.2575757551113407,0.8913524746894836,0.0993685620330728
12,,Place-Down,Halve,0.2,0.11310732364654538,0.8542656177822231,0.7181818131855372,0.6747720314779058,0.7181818131855372,0.9542042016983032,0.8589182921611626
13,,Pour,Halve,0.2,0.3157775104045868,0.7167729075192859,0.5258620639688616,0.4160990163840298,0.5258620639688616,0.9417388558387756,0.7954461517408907
14,,Slice,Halve,0.1818181818181818,0.3771482110023498,0.9451104636323592,0.8749999950003987,0.8427299653264535,0.8749999950003987,0.9842811822891238,0.9532210672428729
15,,Wipe,Halve,0.2,0.5097622871398926,0.0006072906369155,0.1884057941346356,0.1036269408274048,0.1884057941346356,0.8963831067085266,0.1040233549856481
16,,Close-Container,Hold,0.3333333333333333,0.7839381098747253,0.757493699983155,0.8383233483452258,0.75199999508192,0.8383233483452258,0.9629141092300417,0.8042690967398374
17,,Halve,Hold,0.25,0.1863423734903335,0.69886941782425,0.6746987902395123,0.5599999950819201,0.6746987902395123,0.9639741778373718,0.7405953710003245
18,,Open-Container,Hold,0.5,0.739703357219696,0.4886059133850531,0.41556983741770087,0.2555400986825468,0.4110500634064014,0.9332697033882141,0.5795817569331548
19,,Pick-Up,Hold,0.3333333333333333,0.6284888386726379,0.9908818959118836,0.9782608645652175,0.9750889629715938,0.9782608645652175,0.9498135447502136,0.9937871705839774
20,,Place-Down,Hold,0.3333333333333333,0.7480592727661133,0.9449096107338644,0.8664629797238834,0.8482269453546099,0.8664629797238834,0.9910924077033997,0.9469699193405454
21,,Pour,Hold,0.3333333333333333,0.3653004169464111,0.4725787104863758,0.3017498053613535,0.15641106023360568,0.3017498053613535,0.9226855635643005,0.5327630263006584
22,,Slice,Hold,0.2857142857142857,0.3697307407855987,0.6749165145127876,0.6428571379024943,0.5403225757391391,0.6428571379024943,0.9587191343307497,0.7171256787797953
23,,Wipe,Hold,0.3333333333333333,0.43972694873809803,0.8812655492058588,0.8324324274325786,0.7649866666262223,0.8324324274325786,0.9692104816436767,0.8986221125812289
24,,Close-Container,Open-Container,0.3333333333333333,0.720828115940094,0.9861492080677762,0.9677419304838712,0.9426229458196722,0.9677419304838712,0.98732990026474,0.9873486612400797
25,,Halve,Open-Container,0.25,0.1374186724424362,0.859126974786425,0.8064516079032258,0.6885245851639346,0.8064516079032258,0.9585163593292236,0.8643758461146316
26,,Hold,Open-Container,0.5,0.739703357219696,0.6665932752182963,0.653775371146886,0.5190947211064729,0.6441945328235328,0.9071265697479249,0.7081804354394267
27,,Pick-Up,Open-Container,0.3333333333333333,0.494068443775177,0.9113753155926366,0.8064516079032258,0.6885245851639346,0.8064516079032258,0.959640622138977,0.8691050164224384
28,,Place-Down,Open-Container,0.3333333333333333,0.8066946268081665,0.9054057083725484,0.7956989197311828,0.6721311425409836,0.7956989197311828,0.9663606882095335,0.8654175947811996
29,,Pour,Open-Container,0.3333333333333333,0.2541566789150238,0.000421949781568,0.0943396204894981,0.058394158633917705,0.0943396204894981,0.794459879398346,0.1344771994992092
30,,Slice,Open-Container,0.2857142857142857,0.3194121122360229,0.859126974786425,0.8064516079032258,0.6885245851639346,0.8064516079032258,0.9593061089515686,0.8639603633666454
31,,Wipe,Open-Container,0.3333333333333333,0.3229246437549591,0.316252991371151,0.5199999952880001,0.3756345130510964,0.5199999952880001,0.9050540328025818,0.45283453723611
32,,Close-Container,Pick-Up,0.25,0.5153879523277283,0.9861492080677762,0.9677419304838712,0.9426229458196722,0.9677419304838712,0.98732990026474,0.9873486612400797
