Reference Action,Target Action,Cosine distance
"cut","grasp",0.03525692999722
"cut","mix",0.109528619762167
"cut","pour",0.114930661927044
"cut","transport",0.129151640998679
"cut","wipe",0.0474496278730763
"grasp","cut",0.03525692999722
"grasp","mix",0.115841800864983
"grasp","pour",0.108187070094773
"grasp","transport",0.221239749804292
"grasp","wipe",0.0252309407119301
"mix","cut",0.109528619762167
"mix","grasp",0.115841800864983
"mix","pour",0.0289808847879148
"mix","transport",0.200074827676971
"mix","wipe",0.0918667638819958
"pour","cut",0.114930661927044
"pour","grasp",0.108187070094773
"pour","mix",0.0289808847879148
"pour","transport",0.186532698516389
"pour","wipe",0.0970422225532095
"transport","cut",0.129151640998679
"transport","grasp",0.221239749804292
"transport","mix",0.200074827676971
"transport","pour",0.186532698516389
"transport","wipe",0.212525560259133
"wipe","cut",0.0474496278730763
"wipe","grasp",0.0252309407119301
"wipe","mix",0.0918667638819958
"wipe","pour",0.0970422225532095
"wipe","transport",0.212525560259133
