,Target Name,Reference Name,run,chrF,CodeBERTScore,CodeBLEU,CrystalBLEU,Edit Distance,ROUGE-L,LoC,Compilation Success,Run Success,Simulation
0,cut,grasp,1,0.4423496842120546,0.8446479439735413,0.31112878972846936,0.1615085188967642,0.3656605640771895,0.47058823087612467,26,1,0,NaN
1,cut,mix,1,0.6626590948646852,0.9054640531539917,0.5319746335403592,0.46205087963007546,0.5940128649183573,0.6862745048731258,47,1,0,NaN
2,cut,pour,1,0.45600865053954115,0.8356539607048035,0.3535766988031781,0.23605124779959286,0.44111825828797624,0.4666666620222223,33,1,0,NaN
3,cut,transport,1,0.46322283474687337,0.837956964969635,0.35290483994383975,0.2500742745649352,0.4356754082137556,0.4905660331579922,31,1,0,NaN
4,cut,wipe,1,0.5330464012594308,0.8526310920715332,0.4158161719527764,0.3272426779767983,0.49727857496288963,0.4899328810150444,38,1,0,NaN
5,grasp,cut,1,0.7132642335084031,0.9031952023506165,0.552358921876295,0.5633352780234699,0.6531483457844184,0.6818181771120295,17,1,0,NaN
6,grasp,mix,1,0.6237264831601871,0.9033071398735046,0.5330332383073358,0.4531256612014116,0.5757737459978656,0.6717557205081289,18,1,0,NaN
7,grasp,pour,1,0.6486061166513857,0.8940379619598389,0.5357417163620151,0.5011951109269244,0.6189967982924226,0.6474820095502304,18,1,0,NaN
8,grasp,transport,1,0.7173957130454927,0.8788317441940308,0.5579640758791674,0.4743133997239399,0.6659551760939167,0.6225165513284506,20,1,0,NaN
9,grasp,wipe,1,0.7112605859188296,0.899626612663269,0.4997094957829481,0.5544483110414158,0.6680896478121665,0.6428571380040816,20,1,0,NaN
10,mix,cut,1,0.4519145583070503,0.857871949672699,0.3812988606598402,0.1582409622819627,0.45108377270064437,0.4786324739612097,29,1,0,NaN
11,mix,grasp,1,0.43996681865754456,0.8370409607887268,0.3223994908446973,0.13680327862717406,0.33040421792618624,0.43518518083719143,20,1,0,NaN
12,mix,pour,1,0.4092201416932825,0.7980533838272095,0.3308413943739812,0.1601466880545504,0.39162272993555947,0.38596490769967684,24,1,0,NaN
13,mix,transport,1,0.4051537282646653,0.8062894344329834,0.3285308919552548,0.15177219642273332,0.3755125951962507,0.4150943353706835,22,1,0,NaN
14,mix,wipe,1,0.43952602028215515,0.800544023513794,0.34112237827199193,0.21159223127757545,0.42794376098418274,0.3999999952531251,29,1,0,NaN
15,pour,cut,1,0.68130837281816,0.8760420083999634,0.5227628889265474,0.37758027457531657,0.6423076923076922,0.5925925877164782,32,1,0,NaN
16,pour,grasp,1,0.6827495961650762,0.8666656613349915,0.422763286178545,0.301166512179618,0.5169871794871794,0.4811320706323424,30,1,0,NaN
17,pour,mix,1,0.7049832396128967,0.8820446133613586,0.4906749677800788,0.3579807307736302,0.6493589743589744,0.572727267820248,34,1,0,NaN
18,pour,transport,1,0.8423256594948709,0.9248017072677612,0.7936495662237568,0.6146078072249523,0.7487179487179487,0.6857142807163683,39,1,0,NaN
19,pour,wipe,1,0.9314384736812328,0.9652453064918518,0.8467866901433925,0.805554199502971,0.8151582986888392,0.8333333283336483,41,1,0,NaN
20,transport,cut,1,0.5820824234421363,0.8760688304901123,0.4480489036539697,0.3229247138220034,0.5381460213289582,0.5176470542913495,20,1,0,NaN
21,transport,grasp,1,0.5490463301483424,0.8594648838043213,0.4283003885853869,0.2210898897441323,0.44544708777686626,0.4508670474242374,18,1,0,NaN
22,transport,mix,1,0.6429302960764954,0.8673714995384216,0.4469809806474246,0.34159073888753433,0.5795734208367515,0.4999999952722223,23,1,0,NaN
23,transport,pour,1,0.8771285948595532,0.9499964714050293,0.7972765553524107,0.6419448439791302,0.8051681706316653,0.7547169761432005,34,1,0,NaN
24,transport,wipe,1,0.8594170135963592,0.943878710269928,0.792143226258271,0.6073921938425019,0.7768662838392124,0.7582938338761483,34,1,0,NaN
25,wipe,cut,1,0.421434914796838,0.8472201824188232,0.3514466705566044,0.13647403913956319,0.3845968131337518,0.5087719251050323,25,1,0,NaN
26,wipe,grasp,1,0.4249363293005486,0.842174768447876,0.3346087330616175,0.14540953501268372,0.35707387735393525,0.4824561356313482,28,1,0,NaN
27,wipe,mix,1,0.3629956417377011,0.8285776972770691,0.29271692857429465,0.09294346423606188,0.3372766779333656,0.47342994734719607,24,1,0,NaN
28,wipe,pour,1,0.5586130326119633,0.9053599834442139,0.5415510119122265,0.32506378531678193,0.5123128923225495,0.6896551674461621,35,1,0,NaN
29,wipe,transport,1,0.6388670538912129,0.9104253649711609,0.5374796388219593,0.36465942097894033,0.5560115886045389,0.6296296246395062,38,1,0,NaN
30,cut,grasp,2,0.5719251342884654,0.8676016926765442,0.4079107320785645,0.31428373084779665,0.49802078179119247,0.5460992860064886,42,1,NaN,NaN
31,cut,mix,2,0.6632902970689264,0.9062661528587341,0.5323316645171596,0.4646707594741022,0.5942602671944581,0.6905537409933262,47,1,NaN,NaN
